Year,water_condition,totalWater_m,GDD,FIPS,Crop,yield_kgHa_pred_fixed
2043,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3483.8861407789336
2043,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4627.333819708565
2043,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5185.577771589811
2044,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3481.4023292517236
2044,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4666.493182865249
2044,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5280.223758246404
2045,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3478.9185177245135
2045,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4705.652546021933
2045,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5374.869744902998
2046,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3476.434706197304
2046,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4744.811909178617
2046,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5469.515731559591
2047,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3473.9508946700926
2047,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4783.971272335301
2047,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5564.1617182161845
2048,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3471.467083142883
2048,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4823.130635491985
2048,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5658.807704872777
2049,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3468.9832716156725
2049,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4862.289998648668
2049,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5753.45369152937
2050,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3466.499460088463
2050,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4901.449361805352
2050,wet,0.7921389414914338,2658.5670654296923,20005,Wheat,5848.099678185963
2051,dry,0.4501735351671465,2658.5670654296923,20005,Wheat,3464.015648561253
2051,median,0.5967868857319554,2658.5670654296923,20005,Wheat,4940.608724962036
