Year,FIPS,Crop,observed_difference_kgHa,detrended_difference_kgHa
1998,20061,Corn,2516.9860597540137,4990.034706993615
1999,20061,Corn,2184.317079287771,4318.419972844791
2000,20061,Corn,3646.8052386959635,5994.318421608683
2001,20061,Corn,3427.118176123917,5529.837203599216
2002,20061,Corn,6954.66472370934,9251.963720891306
2003,20061,Corn,5454.515925003083,7714.154282886984
2004,20061,Corn,2372.6202757780957,4368.634158575542
2005,20061,Corn,3565.20718688349,5416.855285705021
2006,20061,Corn,5931.550689445241,7770.645241834083
2007,20061,Corn,2272.19190431659,3621.6981458305836
2008,20061,Corn,2755.503441975092,4224.268374599629
2009,20061,Corn,1701.0055416292707,2950.0834116817587
2010,20061,Corn,1418.550746893783,2316.1293168309994
2011,20061,Corn,5184.614676700285,6295.603535993205
2012,20061,Corn,7011.155682656439,8166.081954463767
2013,20061,Corn,3464.7788154219834,4393.741251440921
2014,20061,Corn,5454.515925003086,6433.692546752775
2015,20061,Corn,1889.3087381195928,2523.262832970355
2016,20061,Corn,2699.012483027993,3263.922072498968
2017,20061,Corn,3722.1265172920903,4287.036106763067
2018,20061,Corn,9176.642442295177,9747.828804982495
2019,20061,Corn,3791.1710226718824,4136.393549570806
2020,20061,Corn,2943.806638465414,3207.4311135518674
2021,20061,Corn,4356.080612142854,4544.38380863318
1990,20085,Corn,2793.1640812731557,2975.190504547136
1991,20085,Corn,5253.65918208007,7218.289198795794
1992,20085,Corn,2548.369925835731,2334.9596364800327
1993,20085,Corn,885.0250235045278,690.4450537978582
1994,20085,Corn,885.0250235045296,75.32127859612774
1995,20085,Corn,2510.709286537667,2818.271174138533
1996,20085,Corn,2560.9234722684205,2391.450595427128
1997,20085,Corn,3697.019424426716,4192.884508517907
1998,20085,Corn,1864.2016452542184,1569.1933040860386
1999,20085,Corn,4010.8580852439245,4745.240551556195
2000,20085,Corn,1569.1933040860404,1255.3546432688327
2001,20085,Corn,2447.9415543742252,2447.941554374227
2002,20085,Corn,5686.756534007817,6910.727311194931
2003,20085,Corn,6345.817721723957,7594.895591776447
2004,20085,Corn,1795.1571398744345,1424.8275201101242
2005,20085,Corn,3596.59105296521,3897.8761673497283
2006,20085,Corn,3201.1543403355263,3402.011083258538
2007,20085,Corn,2485.602193672291,2504.4325133213224
2008,20085,Corn,3665.635558344993,3853.9387548353243
2009,20085,Corn,1726.1126344946442,1537.809438004324
2010,20085,Corn,3157.2169278211177,3364.350443960476
2011,20085,Corn,4048.518724541991,4374.910931791887
2012,20085,Corn,7155.521466632355,7927.564572242688
2013,20085,Corn,4795.454737286946,5096.7398516714675
2014,20085,Corn,1801.4339130907738,1688.4519951965776
2015,20085,Corn,2253.3615846675584,2240.808038234867
2016,20085,Corn,2039.9512953118556,2008.5674292301355
2017,20085,Corn,4387.464478224576,4525.553488984146
2018,20085,Corn,4456.5089836043635,4600.874767580277
2019,20085,Corn,2184.317079287772,2184.31707928777
2020,20085,Corn,2535.8163794030443,2529.539606186705
2021,20085,Corn,2755.503441975092,2755.503441975092
1990,20087,Corn,1462.4881594081917,1575.470077302387
1991,20087,Corn,4224.268374599627,5674.202987575131
1992,20087,Corn,1412.2739736774365,1374.6133343793736
1993,20087,Corn,2159.2099864223946,2711.5660294606805
1994,20087,Corn,495.8650840911896,251.0709286537658
1995,20087,Corn,2096.4422542589527,2504.432513321324
1996,20087,Corn,2309.8525436146556,2648.7982972972422
1997,20087,Corn,4023.411631676615,4952.374067695551
1998,20087,Corn,2027.397748879168,2272.191904316589
1999,20087,Corn,3910.4297137824187,4782.90119085426
2000,20087,Corn,1826.5410059561527,1996.0138827974442
2001,20087,Corn,2906.145999167349,3364.350443960475
2002,20087,Corn,5441.962378570395,6621.995743243101
2003,20087,Corn,5661.64944114244,6778.9150736517
2004,20087,Corn,2108.9958006916386,2247.0848114512137
2005,20087,Corn,4105.009683489087,4726.410231907161
2006,20087,Corn,4117.563229921777,4726.41023190716
2007,20087,Corn,2673.9053901626166,2943.8066384654176
2008,20087,Corn,3125.8330617393967,3445.948495772951
2009,20087,Corn,2460.4951008069165,2636.2447508645546
2010,20087,Corn,1914.4158309849727,2052.504841744544
2011,20087,Corn,3000.297597412513,3257.6452992826253
2012,20087,Corn,7412.869168502464,8203.742593761834
2013,20087,Corn,4199.161281734249,4525.553488984146
2014,20087,Corn,1123.542405725606,1104.7120860765735
2015,20087,Corn,3339.243351095097,3527.5465475854235
2016,20087,Corn,1625.6842630331375,1663.3449023312041
2017,20087,Corn,2479.325420455949,2548.369925835732
2018,20087,Corn,4619.705087229309,4808.008283719634
2019,20087,Corn,2473.0486472396024,2529.5396061866995
2020,20087,Corn,1318.1223754322746,1318.1223754322764
2021,20087,Corn,2699.0124830279965,2730.3963491097147
1990,20091,Corn,0,0
1991,20091,Corn,0,0
1992,20091,Corn,0,0
1993,20091,Corn,0,0
1994,20091,Corn,0,0
1995,20091,Corn,0,0
1996,20091,Corn,0,0
1997,20091,Corn,0,0
1998,20091,Corn,0,0
1999,20091,Corn,0,0
2000,20091,Corn,0,0
2001,20091,Corn,0,0
2002,20091,Corn,0,0
2003,20091,Corn,0,0
2004,20091,Corn,0,0
2005,20091,Corn,0,0
2006,20091,Corn,0,0
2007,20091,Corn,0,0
2008,20091,Corn,0,0
2009,20091,Corn,0,0
2010,20091,Corn,0,0
2011,20091,Corn,0,0
2012,20091,Corn,0,0
2013,20091,Corn,0,0
2014,20091,Corn,0,0
2015,20091,Corn,0,0
2016,20091,Corn,0,0
2017,20091,Corn,0,0
2018,20091,Corn,0,0
2019,20091,Corn,0,0
2020,20091,Corn,0,0
2021,20091,Corn,0,0
1990,20103,Corn,2083.888707826266,2259.6383578839013
1991,20103,Corn,3489.8859082873587,4456.508983604361
1992,20103,Corn,2102.7190274752966,2096.4422542589527
1993,20103,Corn,1996.0138827974465,2410.2809150761614
1994,20103,Corn,3590.3142797488663,4324.696746061134
1995,20103,Corn,1989.7371095811013,2171.7635328550823
1996,20103,Corn,2673.9053901626166,2994.020824196172
1997,20103,Corn,3245.091752849936,3747.2336101574674
1998,20103,Corn,1977.1835631484155,2071.335161393572
