Crop,model,validation,fold,n,RMSE,MAE,R2,bias
Soybeans,total_water_curve,held_out_county,4,108,616.8617124111001,504.0233681871043,0.5003254867566622,119.08095206857872
Soybeans,total_water_curve,held_out_county,5,108,547.0760008822298,450.5897635286838,0.3989670606975294,71.58970456417676
Soybeans,total_water_plus_management,forward_year_block,2012_2015,126,470.5301261176436,384.26451504886575,0.6680008965108342,-99.71045812479393
Soybeans,total_water_plus_management,forward_year_block,2016_2019,128,576.3428990031152,480.1055727339934,0.364872130986479,-361.3469799321428
Soybeans,total_water_plus_management,forward_year_block,2020_2023,128,503.14862730067784,404.80578829056174,0.6545609253205723,-79.40155099707171
Soybeans,total_water_plus_management,held_out_county,1,142,504.5998176325145,408.3610748955452,0.4798382448810485,-104.42926008066658
Soybeans,total_water_plus_management,held_out_county,2,108,702.8677960410675,538.5190021802591,0.22516402572437844,-27.018883485781735
Soybeans,total_water_plus_management,held_out_county,3,108,364.7534175462254,298.49771161921666,0.7057526453476186,-73.27629553254212
Soybeans,total_water_plus_management,held_out_county,4,108,502.21655810432077,378.2056718455864,0.734932154336995,126.83295707992575
Soybeans,total_water_plus_management,held_out_county,5,108,528.8683645802957,404.3615058248576,0.45263219475886723,103.94217315160901
Soybeans,separate_sources_linear_irrigation,forward_year_block,2012_2015,126,481.69637514177214,376.4785918310034,0.6400093107933907,-29.546972435137853
Soybeans,separate_sources_linear_irrigation,forward_year_block,2016_2019,128,484.77031394420766,398.6976491901117,0.49663338210807845,-281.94144232374896
Soybeans,separate_sources_linear_irrigation,forward_year_block,2020_2023,128,500.5763182743481,403.35435739674386,0.656592103118026,-87.70811773617447
Soybeans,separate_sources_linear_irrigation,held_out_county,1,142,500.9672793917043,403.6232036459871,0.49082006306596715,-114.88132516086516
Soybeans,separate_sources_linear_irrigation,held_out_county,2,108,710.7099717827493,542.4839234985312,0.21428578482017266,-28.915226710016405
Soybeans,separate_sources_linear_irrigation,held_out_county,3,108,357.6835049857848,292.72987579784063,0.7185405531795599,-76.92306913841179
Soybeans,separate_sources_linear_irrigation,held_out_county,4,108,486.8083214316996,359.05995509601047,0.7578456605918006,136.40287165856452
Soybeans,separate_sources_linear_irrigation,held_out_county,5,108,526.3471082337055,392.86613960039165,0.46369528242587293,115.75110399226821
Soybeans,separate_sources_curved,forward_year_block,2012_2015,126,483.7819806121385,388.25089022846333,0.6440328406846264,-43.09891690375595
Soybeans,separate_sources_curved,forward_year_block,2016_2019,128,485.52304226363503,400.0902580359341,0.49590726775428307,-283.2214637550595
Soybeans,separate_sources_curved,forward_year_block,2020_2023,128,501.6756773751252,405.46930153598424,0.6567983964535894,-92.67270192969886
Soybeans,separate_sources_curved,held_out_county,1,142,501.64178957335406,404.22902171619194,0.4899966740772575,-116.11258855191177
Soybeans,separate_sources_curved,held_out_county,2,108,712.3614920754417,545.4419382246246,0.21109486179928305,-29.26947212824715
Soybeans,separate_sources_curved,held_out_county,3,108,357.74810906311075,293.36862610273255,0.7184236054778447,-77.05477213735618
Soybeans,separate_sources_curved,held_out_county,4,108,488.9234151255721,361.38671525398314,0.7540426900833923,135.2500514223127
Soybeans,separate_sources_curved,held_out_county,5,108,526.2964212606753,392.7537660954088,0.4638131175040894,115.79684055539981
