Scenario,corn,soy,sor,wheat,cult_area,fert_eff,irr_area,irr_eff,Corn,Soybeans,Sorghum,Wheat,Nitrate_kgyr,NegProfit_usd,Irr_m3
feasible_space,13.287287683337926,7.237053369760979,6.346256418313133,73.12940252858796,-21.00206975618424,-1.6457155876569445,13.97188345125317,8.066571283778408,0.13287287683337926,0.07237053369760979,0.06346256418313133,0.7312940252858796,6801628.795348842,-66990275.91286325,142533444.39201862
feasible_space,10.954054455789738,56.91519079357269,31.36678412005887,0.763970630578708,10.192951894846274,3.7235981805368805,-12.159940574773355,3.2401877082316215,0.10954054455789737,0.5691519079357269,0.3136678412005887,0.007639706305787031,7459317.038220498,-123104093.7808231,549785112.8902277
feasible_space,34.73391204799875,33.27086360151414,0.8325783986051102,31.162645951881995,-26.652069521432043,-8.728847741540987,4.37096644930984,-3.9274572943486277,0.3473391204799875,0.3327086360151414,0.008325783986051102,0.31162645951882006,6827996.386879471,-70532725.78148733,437169675.7430033
feasible_space,27.89183505884954,8.466441160106333,46.978620450681774,16.663103330362354,-7.0066270875397585,5.419061362545939,17.42948348085769,7.285334776421077,0.2789183505884954,0.08466441160106333,0.46978620450681774,0.1666310333036235,7300654.621324823,-100963511.65666552,299325026.3708689
feasible_space,16.517321927818703,30.716781712048686,42.2535422925686,10.512354067564011,11.378052059627137,-6.6876446557713205,-9.366728702805705,-6.4930904464325865,0.16517321927818704,0.30716781712048685,0.422535422925686,0.10512354067564011,7715713.492642388,-105360459.09129767,500051666.598621
feasible_space,11.419178395960481,50.51465095961234,7.38252278013737,30.683647864289803,-13.146364510424668,0.560141085330164,9.219656259212407,-1.430959778616904,0.1141917839596048,0.5051465095961234,0.0738252278013737,0.3068364786428981,6872241.394305612,-85162515.29767361,511454160.9349427
feasible_space,13.401436205682113,42.220248456991975,8.725322718833342,35.65299261849257,-14.977657188963612,-5.5913442241903395,-18.63847142937407,6.517822598544182,0.13401436205682113,0.42220248456991977,0.08725322718833342,0.35652992618492574,6911634.798847538,-79820249.60425118,374628466.62031376
feasible_space,51.31938998508733,3.4153795322286897,39.297116890797625,5.9681135918863575,-8.520604840548245,0.12942584105441313,26.188453722623414,-6.40299256792129,0.5131938998508733,0.0341537953222869,0.39297116890797623,0.05968113591886359,7474825.648092734,-103040372.24241707,475421976.94127315
feasible_space,40.04463154123281,8.443713665253016,39.99796143004322,11.513693363470956,24.992201006809246,-1.1895920067864942,-26.055727869366528,1.3431539788905056,0.4004463154123281,0.08443713665253016,0.39997961430043216,0.11513693363470956,8295827.638636067,-134022680.36430275,534149500.8922092
feasible_space,22.763852346698986,54.258452503056034,11.77191586641944,11.205779283825544,-22.88166708730906,-9.32702324140002,-8.735313800067875,-4.944540105290711,0.22763852346698987,0.5425845250305603,0.1177191586641944,0.11205779283825545,6799153.300914246,-78325490.59193575,412607232.3389642
feasible_space,22.73033188256668,11.964931608783083,43.12799987970968,22.176736628940574,-27.233342685337643,-5.526207808762323,-15.372535527947127,-9.493080330194672,0.22730331882566682,0.11964931608783083,0.4312799987970968,0.22176736628940552,6774591.778455401,-68329234.08073063,239838929.41759634
feasible_space,17.162406403766944,39.93908754038159,4.2920052474760455,38.60650080837542,-29.30403483425779,9.05640586573002,2.3168324579293795,-2.2908642676612363,0.17162406403766944,0.3993908754038159,0.04292005247476045,0.3860650080837542,6469855.456878322,-74704959.6369452,383743186.7327761
feasible_space,31.155833898057463,16.627609723162603,18.97594013222726,33.24061624655266,-8.753150765100493,-4.832225153672043,-24.790553914574208,4.4834561707302925,0.3115583389805746,0.16627609723162604,0.18975940132227262,0.3324061624655268,7312002.555753288,-88650094.3115563,373943602.6961202
feasible_space,17.520787928744685,21.53245551523636,1.997324308315292,58.94943224770366,-7.576018859217644,4.85589231608156,13.195103922611338,8.89990230118553,0.17520787928744685,0.2153245551523636,0.01997324308315292,0.5894943224770366,7116479.409213779,-89290745.12810583,314988955.04246837
feasible_space,42.714647738898634,5.546644846827258,40.999505284811605,10.739202129462505,6.267095236215511,-1.7501080658475399,-4.48158478612639,-3.1674524838500666,0.42714647738898637,0.055466448468272575,0.40999505284811605,0.107392021294625,7828419.8611671785,-113083603.15769792,487003602.4642912
feasible_space,6.922183029849547,59.615678120615186,28.46280354535324,4.999335304182026,-10.493222221327247,-5.750339084960054,5.8877394177953235,3.277074785332662,0.06922183029849548,0.5961567812061519,0.2846280354535324,0.04999335304182029,6935557.115133499,-87224302.80341478,527305851.7432109
feasible_space,31.494094344959596,55.884826358666174,12.59819481977378,0.022884476600452786,7.092134240560235,4.383476677927886,29.005961398727955,-7.329959850902902,0.31494094344959594,0.5588482635866617,0.1259819481977378,2.288447660044879e-4,7580089.208981158,-127694134.41704284,796525013.8589053
feasible_space,53.632359595340674,4.069288190182998,22.758096392031295,19.540255822445037,-17.240495458394754,-8.741069008830468,-19.036578136415685,7.377198670532554,0.5363235959534067,0.04069288190182998,0.22758096392031293,0.1954025582244504,7295459.386958301,-84949433.10289711,365422265.0140988
feasible_space,18.832448147879912,16.73070606697933,47.38114484871621,17.055700936424536,-27.996788232954685,2.9019721977789885,27.241982951705808,5.9852313111769035,0.18832448147879913,0.1673070606697933,0.4738114484871621,0.17055700936424545,6660363.57364289,-74095366.72493818,229574467.52393144
feasible_space,8.481582010579295,58.41572516926681,22.881276786176024,10.221416033977867,-13.04655070120236,-2.4729174763720954,25.019743850151777,-4.881505624873098,0.08481582010579296,0.5841572516926681,0.22881276786176025,0.1022141603397787,6862100.538289408,-85898964.03451407,553136006.383613
