FIPS,name,Date,Year,Month,Day,precip_mm_gridmet,tmmn_C_gridmet,tmmx_C_gridmet
20087,Jefferson,2021-01-05,2021,1,5,0,-3.9125732421874773,10.563836669921898
20087,Jefferson,2021-01-06,2021,1,6,7.367629528045654,1.8683410644531477,6.240258789062523
20087,Jefferson,2021-01-07,2021,1,7,0,-4.767431640624977,3.9163146972656477
20087,Jefferson,2021-01-08,2021,1,8,0,-5.054357910156227,3.8518615722656477
20087,Jefferson,2021-01-09,2021,1,9,0,-4.568579101562477,1.7885681152343977
20087,Jefferson,2021-01-10,2021,1,10,0,-4.288397216796852,1.1916748046875227
20087,Jefferson,2021-01-11,2021,1,11,0,-3.6631835937499773,8.724572753906273
20087,Jefferson,2021-01-12,2021,1,12,0,-3.5383666992187273,13.441552734375023
20087,Jefferson,2021-01-13,2021,1,13,0,-0.6796325683593523,14.351800537109398
20087,Jefferson,2021-01-14,2021,1,14,0.25512731075286865,-0.9229797363281023,8.069726562500023
20087,Jefferson,2021-01-15,2021,1,15,2.102668046951294,-2.8537963867187273,-0.25577392578122726
20087,Jefferson,2021-01-16,2021,1,16,0,-6.317358398437477,3.3465209960937727
20087,Jefferson,2021-01-17,2021,1,17,0,-4.852758789062477,6.915093994140648
20087,Jefferson,2021-01-18,2021,1,18,0,-3.9046691894531023,6.747094726562523
20087,Jefferson,2021-01-19,2021,1,19,0,-5.993383789062477,8.042382812500023
20087,Jefferson,2021-01-20,2021,1,20,0,-4.730078124999977,12.801416015625023
20087,Jefferson,2021-01-21,2021,1,21,0,-4.544775390624977,14.921380615234398
20087,Jefferson,2021-01-22,2021,1,22,0,-6.400061035156227,1.2305847167968977
20087,Jefferson,2021-01-23,2021,1,23,0.0019890933763235807,-6.495245361328102,4.438867187500023
20087,Jefferson,2021-01-24,2021,1,24,5.842670917510986,0.15548095703127274,4.583215332031273
20087,Jefferson,2021-01-25,2021,1,25,6.780858993530273,-4.683538818359352,1.1541076660156477
