Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
1998,Golf Course/Turf/Sod,163831.05766305895,0,44.110734999799995,0
1998,Multi-Crop,8179267.404050974,0,6257.249399696399,0
1998,Other Crop,510266.76655664976,0,275.59092233819996,1
1998,Sorghum,6808.8197432622,0,36.82639344019999,0
1998,Soybeans,4031869.7475731377,0,3029.8814031514,0
1998,Unknown,125389041.1290642,0,64.74970275199999,173
1999,Alfalfa,4563.88279892575,0,21.0436533944,0
1999,Corn,8597257.394340696,0,5676.5255031394,0
1999,Golf Course/Turf/Sod,159267.17486413318,0,45.7294775686,0
1999,Multi-Crop,9437418.878349423,0,5799.5499383682,0
1999,Other Crop,738127.8664067994,0,409.5418699064,0
1999,Sorghum,47575.39447420707,0,45.324791926399996,0
1999,Soybeans,6673432.776772986,0,4149.0395466555,0
1999,Unknown,142627295.18370503,0,302.7048603656,173
2000,Alfalfa,72109.34822302684,0,61.10753197219999,0
2000,Corn,8990947.79243073,0,5620.881227336899,0
2000,Golf Course/Turf/Sod,159217.8355906313,0,43.7060493576,0
2000,Multi-Crop,10537894.369354177,0,6263.7243699716,0
2000,Other Crop,899676.9826703955,0,437.86986486039996,0
2000,Sorghum,42690.80639751897,0,30.351423164999996,0
2000,Soybeans,6616544.5944252955,0,4039.5720804403995,0
2000,Unknown,146531622.90927577,0,277.209664907,177
2000,Wheat,629.075737149225,0,16.592111330199998,0
2001,Alfalfa,309406.5841304149,0,193.03505132939998,0
2001,Corn,10626680.392020846,0,6296.9085926319995,0
2001,Golf Course/Turf/Sod,78733.14569065692,0,45.324791926399996,0
2001,Multi-Crop,9234622.12943824,0,5508.1762759841995,1
2001,Other Crop,848869.865781814,0,372.310790824,3
2001,Sorghum,111112.0439262788,0,112.5026085316,0
2001,Soybeans,6352086.088455112,0,4140.5411481693,0
2001,Unknown,119077968.31170756,0,379.9998180258,176
2002,Alfalfa,420136.248687054,0,192.225680045,0
2002,Corn,16653966.043012949,0,6318.3569316686,2
2002,Golf Course/Turf/Sod,293038.2801461595,0,61.916903256599994,0
2002,Multi-Crop,13873932.34273002,0,5827.0685620378,2
2002,Other Crop,577059.8080598469,0,283.6846351822,0
2002,Sorghum,106313.79957821901,0,95.5058115592,0
2002,Soybeans,8757647.037676997,0,4459.635777044,1
2002,Unknown,125499696.7847106,0,388.498216512,180
2003,Alfalfa,131760.52988682393,0,124.23849215539998,0
2003,Corn,14220824.439903503,0,6583.0213416674,0
2003,Golf Course/Turf/Sod,302585.4295687772,0,64.74970275199999,0
2003,Multi-Crop,11828437.076706624,0,5530.029300663,2
2003,Other Crop,1458567.6032631677,0,541.4693892636,0
2003,Sorghum,274462.0436726942,0,58.679418119,0
2003,Soybeans,12200220.837361816,0,5004.9496799085,2
2003,Unknown,135323750.5450393,0,223.38647449439998,184
2003,Wheat,36548.06684653242,0,50.1810196328,0
2004,Alfalfa,93423.91437584764,0,295.42051880599996,0
2004,Corn,2735270.644398332,0,4128.198236082199,0
2004,Golf Course/Turf/Sod,295603.92236825835,0,82.96055665099999,0
2004,Multi-Crop,3616359.0557768866,0,4526.408908007,0
2004,Other Crop,733341.9568771151,0,617.5502899971999,0
