Year,Month,precip_mm_prism,precip_mm_gridmet,etr_mm_gridmet,tmmx_C_gridmet,tmmn_C_gridmet,srad_wpm2_gridmet,wind_mps_gridmet,rhmax_pct_gridmet,rhmin_pct_gridmet,vpd_kpa_gridmet
1995,5,306.2296850159381,294.93715169538336,120.94781167194574,20.154359191585776,10.200259481754937,188.70165826498356,4.277736489527543,95.83604011085343,55.69791163401097,0.49249986469946666
1995,6,126.63322178212368,130.71581293680214,182.13220176125859,27.835491799262908,16.731764738394904,265.8693888826676,3.6206445253719566,92.13201342706536,49.758226754894544,0.9668332997703231
1995,7,104.4701136935039,103.6224521043982,222.58738658219124,32.69182965695157,20.08218638016444,280.12998265078255,3.1557205849111987,87.85416692827042,43.44894212333589,1.4730109739263384
1995,8,116.37299306150085,102.76022794541178,209.56653465287883,32.78066642979951,20.860500234053895,253.8718273683905,3.6963698234767173,88.69507376299339,48.707095848971235,1.2771080388588607
1995,9,104.16164713013698,102.38830692277088,144.19796987076433,24.868548357547056,12.285302502791378,192.0895485837785,3.8168980313392753,90.53637353726623,46.29547145515429,0.8792221351679018
1995,10,9.556824764146834,7.990482263958072,160.59453552207498,21.429534315138223,6.560511900723305,162.64345571122323,4.723027270318686,79.73331814230393,30.816224225254928,0.9398965719980494
1995,11,22.436391989471733,22.97802905685584,83.2758062327089,11.344913754133534,-2.504437688148823,101.19736335329824,4.352367735230701,85.43993975300009,41.78991789922345,0.4493544060755741
1995,12,19.89901865423032,19.699257761290262,42.427350089506795,3.425580847806133,-5.133671680469716,78.45455086050308,3.808783421830021,87.11410873696133,55.55779470601331,0.2182959064238188
1996,1,20.907939748675826,21.407874274414667,50.95144740098846,2.0574737806143513,-9.990151679053453,89.40926278743133,4.77375343879198,82.96442706669362,46.378830380624706,0.21536441396098918
1996,2,5.647490551635883,5.589254888650941,108.61045022105286,9.255396717193781,-5.095960059334795,124.71313256558037,4.833715150167327,66.81323175607201,30.495304104449577,0.5752396303877662
1996,3,36.88200667362664,39.85304132294896,126.17671218197825,10.787034285289664,-3.5837783993596948,169.73089828619868,5.188110036753482,69.1230316129945,28.353287076065552,0.5725636992345974
1996,4,38.07249958983183,39.304821790445715,204.6128224431966,19.567481076013802,4.720999032289164,223.7848529654852,5.6514718982863785,69.58040866562327,28.242759558241847,0.9832772682428762
1996,5,185.2716704444062,165.81444505643583,176.41301071181465,23.751142808679408,13.66005077136912,229.9586823513295,4.877934241174245,89.71542589982083,51.412232214041545,0.7990347237952845
1996,6,172.65544938404048,166.83770090050078,200.14315285348974,29.597824503237664,18.007618607879714,278.31840175480704,3.5640018828602704,93.39054917565485,46.7403128979379,1.1526911582351735
1996,7,90.7400249273412,88.49858904623663,198.5462510543569,30.12512824073009,18.617468277157684,267.4918610442549,3.3740163078597587,92.51484287126873,46.16915928613878,1.119695524441653
1996,8,165.1840416495626,159.26275856016457,157.4782212548473,29.133863550092904,18.621376225437746,219.8118080409341,3.1298174337432116,96.77724964341265,54.61147205101901,0.8522904616785291
1996,9,98.57434841834261,100.4700343230422,130.6910889307524,24.325646174979273,12.152049016068016,189.47916349311302,3.6062473633639125,91.28407889715133,47.650242823171375,0.7839450622589954
1996,10,89.78276248237947,87.9708516381392,140.91467312938246,19.990232208406365,7.214812120820401,157.97802008746245,5.1311372219008495,84.79992630107809,40.143013322132234,0.7362797993029551
1996,11,74.11718436747881,76.10567896819437,54.826967805598876,7.4870235655400466,-1.3726138444614022,90.24631372873135,4.668377343156888,86.91029029833325,51.65616582899431,0.2692576710254105
1996,12,2.9838715371468085,3.157645252864638,49.968460211514625,4.786450282799677,-6.917809013894172,87.80385846914771,4.19157768682927,89.55344858539446,49.12413536637871,0.25223266947731804
1997,1,9.590525513685252,10.31057496657862,63.54531584818287,2.922651108843101,-9.789917820742296,89.75575710508916,4.7001950672464865,75.3715763252863,39.75749205899681,0.30329152240620494
1997,2,76.36028675969311,74.40412460398211,49.064392935114,5.517064338671239,-3.1809065614542487,110.08727770671877,3.8445591148598397,87.12259649627325,54.76269167470691,0.23737756642834934
1997,3,7.317583115624009,9.033108797835258,145.69042181767662,15.810013815765661,0.41903809520086854,183.7121383512603,4.821641874956643,79.95812851904215,33.94554290803649,0.6870461330445983
1997,4,126.21986509913164,113.20302538302354,132.50553747524097,15.764028328546608,4.049920062472027,194.8549650684376,4.358028322206983,77.95108146088522,38.206183714971175,0.6574268872782111
1997,5,99.40326501311158,104.50554880125426,191.46805554276574,22.63978890070025,9.073571648686192,252.1519463395992,4.325263669478753,78.88887393816326,38.23582762127984,0.9318708297474589
