Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
1999,IND,47327353.611494645,14353460.741894985,32973892.869599663
1999,IRR,32863113.86576952,28598547.769543048,4264566.096226473
1999,MUN,114817941.42864326,40908967.874271356,73908973.5543719
1999,REC,14535164.951384109,2757164.9470148003,11778000.004369307
2000,IND,43972788.74091884,15225322.709128683,28747466.031790156
2000,IRR,35757935.38585462,30566148.657525316,5191786.728329305
2000,MUN,121146245.98727044,47033957.621615596,74112288.36565486
2000,REC,10393305.62835686,3623969.638714555,6769335.989642304
2001,IND,36955547.57156624,9053164.616316628,27902382.955249615
2001,IRR,37754597.10592951,30842251.232041948,6912345.873887561
2001,MUN,111538594.2805211,46523024.77486667,65015569.505654424
2001,REC,5818420.171440185,4844228.550963545,974191.62047664
2002,IND,24162429.019350465,7156007.876076695,17006421.14327377
2002,IRR,51340018.04685716,44471596.46120467,6868421.585652495
2002,MUN,121659053.72641245,48783392.57699084,72875661.1494216
2002,REC,6071394.961502802,4306504.478703088,1764890.482799714
2003,IND,26154526.85662643,7463120.183989271,18691406.672637157
2003,IRR,50251235.96367236,44270230.551225044,5981005.412447321
2003,MUN,129962335.39441045,49757744.55010636,80204590.84430408
2003,REC,5844421.968575687,3755742.5034197546,2088679.4651559326
2004,IND,26159275.761700988,7419146.556480703,18740129.205220286
2004,IRR,15564554.884090997,12500524.32553113,3064030.558559867
2004,MUN,107081790.03991285,42865714.12208321,64216075.91782963
2004,REC,3846169.0569303613,2203504.2894132296,1642664.767517132
2005,IND,28195704.936218407,7189928.62660925,21005776.309609156
2005,IRR,35363504.89866206,30000893.2706508,5362611.628011258
2005,MUN,105344529.5502742,42989691.38157511,62354838.168699086
2005,REC,893287.5467518994,128417.79410707022,764869.7526448292
2006,IND,25055247.843004096,7931448.568069305,17123799.27493479
2006,IRR,43737588.42413528,37554662.034881435,6182926.389253847
2006,MUN,136798920.81383583,46911435.87069201,89887484.94314383
2006,REC,4943844.544163882,2841387.0868825438,2102457.457281338
2007,IND,25296652.57343052,7441176.542099301,17855476.03133122
2007,IRR,30713068.679195598,25783581.86362077,4929486.815574829
2007,MUN,145942400.9702977,47388558.98027375,98553841.99002394
2007,REC,3470869.873038159,2218663.7811966883,1252206.091841471
2008,IND,36986532.63532543,9752770.844936818,27233761.790388618
2008,IRR,20329408.878808364,17055353.367769282,3274055.51103908
2008,MUN,139152761.86960936,44247472.811322294,94905289.05828707
2008,REC,7241882.881606751,2690223.8876910973,4551658.993915654
2009,IND,33748260.43239361,10721744.837240633,23026515.595152974
2009,IRR,9098581.417575127,7495906.131231284,1602675.286343842
2009,MUN,130252326.97441787,42247604.038469784,88004722.93594809
2009,REC,8455456.322296236,3664699.208990373,4790757.113305862
2010,IND,53057037.099541664,8170139.638453122,44886897.46108854
2010,IRR,23344704.569966726,19397747.712090358,3946956.8578763674
2010,MUN,128323395.74204269,44849128.24722283,83474267.49481986
2010,REC,8200878.005844806,3398353.4758087415,4802524.530036065
2011,IND,50768323.88479065,8817581.92016343,41950741.96462722
2011,IRR,47358178.32261496,40677023.949538924,6681154.373076034
2011,MUN,127746940.34008326,50184257.89989354,77562682.44018972
2011,REC,8846470.064798793,3830836.877689646,5015633.187109146
2012,IND,61347946.94470906,9208842.359033497,52139104.58567557
2012,IRR,59415722.31582765,51519637.672040835,7896084.643786819
2012,MUN,141372634.46300685,54486790.56707972,86885843.89592712
2012,REC,7677338.974716146,3615618.9666743586,4061720.008041787
2013,IND,55651851.167098455,9153755.060168626,46498096.10692983
2013,IRR,39616550.274525836,32853862.75198791,6762687.522537923
2013,MUN,128035229.71515486,47964928.03850457,80070301.67665029
2013,REC,6449358.466164107,3009387.313156513,3439971.1530075944
2014,IND,54049373.237848625,8042424.928993454,46006948.30885517
2014,IRR,39641330.92464217,33427912.864364143,6213418.060278022
2014,MUN,134272170.2740749,48731709.6879976,85540460.58607732
2014,REC,7621511.586748745,3613189.0074543897,4008322.5792943556
2015,IND,44612694.44860173,8240768.808471092,36371925.64013064
2015,IRR,16147473.730879195,11995413.513055429,4152060.2178237657
2015,MUN,109976377.1984488,45674043.895719476,64302333.30272933
2015,REC,7214141.875080308,2808095.4120871364,4406046.462993172
2016,IND,40464704.72084187,8853599.589819817,31611105.131022055
2016,IRR,27008910.386222083,20949874.912731506,6059035.473490576
2016,MUN,124570712.27358007,47432840.97824171,77137871.29533836
2016,REC,5961602.743142699,2970384.617453261,2991218.125689438
2017,IND,47342254.07209222,8661854.838173058,38680399.23391916
2017,IRR,34455427.904677965,27437656.338135216,7017771.5665427465
2017,MUN,121511800.66464603,48381277.49795036,73130523.16669567
2017,REC,5812733.820169091,2045248.569655885,3767485.2505132062
2018,IND,40640241.52114326,7388186.16235826,33252055.358784996
2018,IRR,46420892.47871774,39094627.10460436,7326265.374113376
2018,MUN,115960503.31994513,46884743.32372747,69075759.99621765
2018,REC,6914701.824197277,2170965.0385387265,4743736.78565855
2019,IND,37729693.10762943,6965447.266993981,30764245.84063545
2019,IRR,17467521.323785778,13924320.075793834,3543201.2479919447
2019,MUN,103970282.76542577,47136459.9623158,56833822.80310998
2019,REC,4986597.024653278,2081845.9757759194,2904751.048877359
2020,IND,36288332.57600005,7282785.139339827,29005547.43666022
2020,IRR,24696625.33355554,18901777.000030886,5794848.333524653
2020,MUN,123132768.48664069,45772734.77754165,77360033.70909904
2020,REC,4497879.185798584,1659353.77677915,2838525.4090194334
2021,IND,43487944.035034046,7135088.024111889,36352856.010922156
2021,IRR,35943710.08540765,28428635.646420877,7515074.438986772
2021,MUN,107673824.31748052,46800866.55877425,60872957.75870627
2021,REC,5025908.090815917,1650411.0334569304,3375497.0573589867
2022,IND,39222896.88089093,6532569.150925062,32690327.729965866
2022,IRR,38611533.94292888,30899867.16867379,7711666.774255092
2022,MUN,111334687.39795612,47443066.54267497,63891620.855281144
2022,REC,4550968.244086628,1422648.6121537846,3128319.631932843
2023,IND,36446723.97875952,6598202.719500964,29848521.259258557
2023,IRR,43900136.6606873,36131569.36926614,7768567.291421158
2023,MUN,101263764.58266068,48231175.0931392,53032589.48952147
2023,REC,5821059.822572537,1953625.5387628567,3867434.2838096805
