Year,Crop,Crop_area_m2,Crop_area_ha,Yield_kgHa,Irrigation_m,Irrigation_m3,fert_kgcrop,NetReturn_ha,Crop_prc,NitrateFluxPredicted_kg
2013,Sorghum,96042600,9604.26,7160.050522130156,0,0,1075677.12,143.2010104426033,1.1164228673527594,3348238.9854862085
2013,Soybeans,6670024200,667002.42,3743.061595870153,0.13800616613898178,920504467.8962291,37352135.52,147.13129161320285,12.323498463058684,3348238.9854862085
2013,Wheat,713476800,71347.68000000001,4196.766040497292,0,0,6349943.5200000005,125.9029812149188,2.591105961191124,3348238.9854862085
2014,Corn,5121239400,512123.94,12440.037252373782,0.12926130994853913,661978113.4040706,128030985,335.71533768613716,9.510120489047747,1055788.4856035723
2014,Sorghum,38416500,3841.65,6517.909986415739,0,0,430264.80000000005,130.35819972831487,0.6684554929989122,1055788.4856035723
2014,Soybeans,6502919400,650291.94,3585.862296767428,0.13027872940585727,847192076.8606998,36416348.64,141.51228331067279,12.073871176202115,1055788.4856035723
2014,Wheat,434233800,43423.38,3340.3507454729315,0,0,3864680.8200000003,100.21052236418797,1.6385478113289553,1055788.4856035723
2015,Corn,5424449400,542444.94,11714.30380625149,0.09997524201288426,542310641.5516448,135611235,322.43629400380826,9.971880698921288,11344944.910398085
2015,Sorghum,144315000,14431.5,6859.309700524717,0,0,1616328,137.1861940104945,1.3363823797557055,11344944.910398085
2015,Soybeans,6660822600,666082.26,3508.4345155312576,0.10077262961564404,671228608.8053111,37300606.56,146.1976631880261,12.084132282398842,11344944.910398085
2015,Wheat,523579500,52357.95,2166.5854059762046,0,0,4659857.55,64.99756217928613,1.8682398492802814,11344944.910398085
2016,Corn,6231189600,623118.96,11188.957588361558,0.11111505507959676,692378975.6154106,155779740,303.4453616777637,11.392733052743317,12116166.027582455
2016,Sorghum,103386600,10338.66,6016.906223989961,0,0,1157929.92,120.33812447979935,1.1927651276370885,12116166.027582455
2016,Soybeans,6940089000,694008.9,4056.7370114842183,0.11236508507185446,779823690.8912413,38864498.4,170.25097590337305,12.683757542736698,12116166.027582455
2016,Wheat,352189800,35218.98,3580.149736381825,0,0,3134489.2199999997,107.40449209145473,1.4353421102671342,12116166.027582455
2017,Corn,5914197000,591419.7,11030.744326976968,0.14018040019281736,829054502.2791599,147854925,290.27001375339205,11.355509965581875,8005118.07900521
