Year,Crop,waterUse_m3,n_waterUse_NA,irrArea_ha,n_irrArea_NA
1996,Golf Course/Turf/Sod,1075670.1712516728,0,434.63237972279995,3
1996,Multi-Crop,11583923.972049583,0,7610.9228728554,0
1996,Other Crop,667313.6741131975,0,381.2138749524,0
1996,Sorghum,228798.54604668578,0,134.7603188526,0
1996,Soybeans,5728437.671391095,0,3381.9579118653996,0
1996,Unknown,175198616.58598432,0,152.16180146719998,316
1996,Wheat,59404.4852962876,0,60.70284633,0
1997,Alfalfa,359942.335014736,0,262.6409817878,0
1997,Corn,12801950.282172613,0,6567.845630084899,0
1997,Golf Course/Turf/Sod,1112107.224732826,0,396.18724371379994,0
1997,Multi-Crop,14926487.06434605,0,8169.3890590914,0
1997,Other Crop,781743.784182479,0,345.6015384388,1
1997,Sorghum,279173.94429212564,0,128.6900342196,0
1997,Soybeans,7263863.527951848,0,4237.4633594762,0
1997,Unknown,167659427.57707348,0,117.76352188019999,328
1997,Wheat,715.4194657775499,0,30.351423164999996,0
1998,Alfalfa,114849.49389404772,0,110.4791803206,3
1998,Corn,9917539.348796412,0,7439.133817741499,1
1998,Golf Course/Turf/Sod,1115906.3487924722,0,378.7857610992,1
1998,Multi-Crop,9902700.562290717,0,7575.715221983999,0
1998,Other Crop,575752.3173120465,0,420.46838224579994,1
1998,Sorghum,34512.821814579045,0,52.2044478438,0
1998,Soybeans,4438042.981859154,0,3433.3529884247996,0
1998,Unknown,156363928.66309765,0,140.8306034856,332
1999,Alfalfa,16824.692264147896,0,31.1607944494,0
1999,Corn,10191976.722832356,0,6597.590024786599,0
1999,Golf Course/Turf/Sod,1478661.0223968164,0,565.3458421534,1
1999,Multi-Crop,11322832.871495904,0,7164.149923866599,0
1999,Other Crop,809003.7327922788,0,511.5226517408,0
1999,Sorghum,180828.4373844635,0,89.03084128399999,0
1999,Soybeans,8102877.873851657,0,5053.511956972499,0
1999,Unknown,177440568.5042739,0,452.4385479796,332
2000,Alfalfa,72109.34822302684,0,61.10753197219999,0
2000,Corn,10986425.369941574,0,6795.2789610013,0
2000,Golf Course/Turf/Sod,1540964.1900113407,0,578.700468346,0
2000,Multi-Crop,13222382.566500679,0,7546.5778557456,0
2000,Other Crop,989967.8531788725,0,490.88368398859996,1
2000,Sorghum,64597.44383236257,0,49.776333990599994,0
2000,Soybeans,7938405.405633073,0,4661.978598144,0
2000,Unknown,176454794.4893427,0,494.12116912619996,322
2000,Wheat,629.075737149225,0,16.592111330199998,0
2001,Alfalfa,316560.7787881904,0,199.10533596239998,0
2001,Corn,11802891.667851016,0,7012.3928080416,0
2001,Golf Course/Turf/Sod,3472424.060153469,0,541.8740749058,1
2001,Multi-Crop,12042347.496974112,0,7087.2596518486,1
2001,Other Crop,1215769.038360318,0,565.7505277956,5
2001,Sorghum,111112.0439262788,0,112.5026085316,0
2001,Soybeans,7656024.408563324,0,4850.3597645881,5
2001,Unknown,155450029.6348403,0,692.8218194464,317
2002,Alfalfa,430497.49612245295,0,198.295964678,0
2002,Corn,19218794.16709897,0,7460.379813957,2
2002,Golf Course/Turf/Sod,2830988.834992018,0,726.8154133912,0
2002,Multi-Crop,16563329.79758996,0,7195.310718316,3
2002,Other Crop,848462.8167754234,0,390.1169590808,1
2002,Sorghum,213083.98743633062,0,149.32900197179998,0
2002,Soybeans,10041676.960927194,0,5117.452288440099,1
