Year,Sector,waterUse_m3,GWuse_m3,SWuse_m3
1998,IRR,21256802.19836845,20894454.573770497,362347.6245979536
1998,MUN,94660085.203801,24902962.175340485,69757123.02846052
1998,REC,94595.72212151777,94595.72212151777,NA
1999,HYD,14140475.433005659,3395516.4675823823,10744958.965423277
1999,IND,43209337.49238719,14025120.211558215,29184217.28082898
1999,IRR,26175446.708591234,25773602.99555501,401843.71303622454
1999,MUN,98737556.77490827,30452976.698930334,68284580.07597794
1999,REC,163991.4103019401,163991.4103019401,NA
2000,HYD,15318647.944957528,3535208.285684637,11783439.65927289
2000,IND,42180687.648782834,15877637.244097304,26303050.404685527
2000,IRR,27790395.139218673,27239522.15056996,550872.9886487134
2000,MUN,105462462.7487621,35811320.47978368,69651142.26897843
2000,REC,205596.75268241728,205596.75268241728,NA
2001,HYD,14157805.8528232,2533584.0291409404,11624221.82368226
2001,IND,22395207.25587779,8886866.594978472,13508340.660899317
2001,IRR,28302487.458894894,27865884.22767658,436603.2312183131
2001,MUN,96471576.63042325,35357991.234848216,61113585.39557504
2001,REC,197394.09846272643,197394.09846272643,NA
2002,HYD,13250345.59975788,1263060.732011889,11987284.867745992
2002,IND,18619655.03414702,7195442.290423088,11424212.743723933
2002,IRR,41493144.87253385,40798016.18298396,695128.6895498936
2002,MUN,106990512.38393433,37935191.18176484,69055321.2021695
2002,REC,145119.13818746337,145119.13818746337,NA
2003,HYD,12543955.221031178,2423421.766229573,10120533.454801604
2003,IND,19737325.261967182,7522919.383473573,12214405.87849361
2003,IRR,41029688.74171213,40450050.95661181,579637.7851003212
2003,MUN,115663024.50518379,38869467.32997844,76793557.17520535
2003,REC,174315.65328221268,174315.65328221268,0
2004,HYD,14602069.006252684,3015986.4409873923,11586082.565265292
2004,IND,18693787.292583626,7411264.607538774,11282522.685044851
2004,IRR,11021493.25858305,10834608.425376229,186884.83320682173
2004,MUN,93138239.98227164,32814847.721466288,60323392.26080535
2004,REC,64437.0911934814,64437.0911934814,0
2005,HYD,15278818.816423118,5788730.263610417,9490088.552812701
2005,IND,17075286.43426405,7202460.802078733,9872825.632185316
2005,IRR,27784585.439763825,27342974.27228507,441611.16747875593
2005,MUN,91256785.4658237,32650646.619251963,58606138.84657173
2005,REC,101799.25605279517,101799.25605279517,0
2006,HYD,19161967.658843156,6316352.11962136,12845615.539221795
