FIPS,County,Crop,Domain,period,n_years,years_active,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,basin_area_share,crop_area_share,crop_domain_county_share
20149,Pottawatomie,Multi-Crop,Non-alluvial,historical_2006_2023,18,3,12.050649777777778,6196.875698301134,0.05142358140495126,5.528583083979796e-4,0.0021153371811948106,0.015098804208509979
20149,Pottawatomie,Other Crop,Alluvial,historical_2006_2023,18,13,23.20199733333333,16814.413248835004,0.07246968011964404,0.001064458534079692,0.04763003646097752,0.054337238383572455
20149,Pottawatomie,Other Crop,Non-alluvial,historical_2006_2023,18,18,26.990307944444446,21400.2246137616,0.0792885529791316,0.0012382582075219674,0.055406839894770854,0.4488689474668162
20149,Pottawatomie,Sorghum,Alluvial,historical_2006_2023,18,3,7.1719352222222215,8360.951055509471,0.1165787307950452,3.290332096622304e-4,0.27642980935875217,0.294280442804428
20149,Pottawatomie,Soybeans,Alluvial,historical_2006_2023,18,18,1911.5568035555555,2247846.590937687,0.11759245588499499,0.08769818062169742,0.31340111944768506,0.337035715701431
20149,Pottawatomie,Soybeans,Non-alluvial,historical_2006_2023,18,18,147.14832611111112,128491.11774963555,0.08732081508872375,0.006750853784449211,0.024125074411755494,0.34403006649320617
20149,Pottawatomie,Unknown,Alluvial,historical_2006_2023,18,3,6.497458555555555,2923.3519549875746,0.04499223704148148,2.9808964762503e-4,0.13373438223044887,0.15115062761506276
20149,Pottawatomie,Wheat,Alluvial,historical_2006_2023,18,3,3.7545867777777775,2159.278483395651,0.057510416224116685,1.7225249534041527e-4,0.47175141242937857,0.47175141242937857
20161,Riley,Alfalfa,Alluvial,historical_2006_2023,18,5,14.164010000000001,16434.774949945382,0.11603193551787512,6.498148027812075e-4,0.2645947081058379,0.27202072538860106
20161,Riley,Corn,Alluvial,historical_2006_2023,18,18,420.0303441666667,611803.5650851224,0.14565699206778276,0.01927010325866652,0.0461086814879166,0.04969113432498388
20161,Riley,Corn,Non-alluvial,historical_2006_2023,18,15,40.69342555555556,56431.794067798124,0.1386754575152593,0.0018669282429110878,0.004467106302321908,0.061961898567345054
20161,Riley,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,18,29.632008222222222,186340.04539523824,0.6288471709301647,0.001359453825501002,0.11053337806105334,0.16203589869682813
20161,Riley,Golf Course/Turf/Sod,Non-alluvial,historical_2006_2023,18,2,0.22482555555555556,659.9127830879124,0.29352214051344555,1.0314520679066784e-5,8.386447500838645e-4,0.002638522427440633
20161,Riley,Multi-Crop,Alluvial,historical_2006_2023,18,18,374.77295983333335,492068.797846699,0.13129783911452117,0.017193790245970376,0.06578659168269943,0.07650490160082243
20161,Riley,Multi-Crop,Non-alluvial,historical_2006_2023,18,18,81.16202555555554,117062.90852475795,0.14423359659084428,0.0037235419651431086,0.014246953776330716,0.10169157312074815
20161,Riley,Other Crop,Alluvial,historical_2006_2023,18,18,131.41053722222222,167128.5657754359,0.12718049047529015,0.006028837336914535,0.2697650805372225,0.30775306041858624
20161,Riley,Other Crop,Non-alluvial,historical_2006_2023,18,18,17.401498,33482.86448022688,0.1924136903629037,7.983439005597691e-4,0.03572252734573314,0.2893998878295008
20161,Riley,Sorghum,Alluvial,historical_2006_2023,18,11,12.005684666666667,21979.275809721395,0.18307390557030062,5.507954042621663e-4,0.46273830155979206,0.49261992619926204
