Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2007,20161,Riley,Sorghum,Alluvial,52.609179999999995,127134.97299602085,2
2007,20161,Riley,Soybeans,Alluvial,195.868024,224185.32397425812,6
2007,20161,Riley,Soybeans,Non-alluvial,48.56232,60255.58776419537,1
2007,20177,Shawnee,Alfalfa,Alluvial,38.44517,79497.90442993637,1
2007,20177,Shawnee,Corn,Alluvial,3609.79912,4930621.618865373,114
2007,20177,Shawnee,Corn,Non-alluvial,16.592126,12766.537018616624,1
2007,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,36.42174,105043.3132855451,3
2007,20177,Shawnee,Multi-Crop,Alluvial,1017.380604,1217804.2833922713,31
2007,20177,Shawnee,Multi-Crop,Non-alluvial,44.920146,31897.840318978346,2
2007,20177,Shawnee,Other Crop,Alluvial,147.71039,149966.72180902504,7
2007,20177,Shawnee,Soybeans,Alluvial,1300.660804,1508757.9792329755,34
2007,20197,Wabaunsee,Corn,Alluvial,1047.327368,849017.8836023196,28
2007,20197,Wabaunsee,Multi-Crop,Alluvial,129.49952,116465.35510123495,4
2007,20197,Wabaunsee,Multi-Crop,Non-alluvial,60.7029,75908.47228267314,1
2007,20197,Wabaunsee,Other Crop,Non-alluvial,16.18744,1073.129198666325,1
2007,20197,Wabaunsee,Soybeans,Alluvial,676.8373349999999,937828.5759057397,15
2007,20197,Wabaunsee,Soybeans,Non-alluvial,72.438794,53952.49557432765,2
2007,20209,Wyandotte,Corn,Alluvial,61.512271999999996,186268.09228804798,2
2007,20209,Wyandotte,Multi-Crop,Alluvial,16.18744,4366.52570491815,1
2007,20209,Wyandotte,Soybeans,Alluvial,93.887152,144724.42399944816,3
2008,20005,Atchison,Corn,Non-alluvial,29.137392,20426.459229786604,2
2008,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,1.214058,4415.86497842005,2
2008,20045,Douglas,Corn,Alluvial,327.79566,379924.7407830055,9
2008,20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,0.809372,1159.47292729465,1
2008,20045,Douglas,Multi-Crop,Alluvial,182.1087,314587.2078481144,6
2008,20045,Douglas,Other Crop,Alluvial,12.545266,23078.44518051372,3
2008,20045,Douglas,Soybeans,Alluvial,402.257884,259216.20816060712,7
2008,20061,Geary,Corn,Alluvial,103.599616,185281.30681800994,2
