Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
1994,Corn,8963095.772538908,5848.7192438955,6780289.308359726,4656.920027616499,0.7564673501685819,0.7962290261200483,0.15324886353356737,0.14559600053578778
1994,Golf Course/Turf/Sod,2324792.558499275,404.6856422,1130868.4834819234,28.327994954,0.48643844774345535,0.06999999999999999,0.5744687520567723,3.9920526861088037
1994,Multi-Crop,11046421.926519886,7117.6110750135995,9747639.56049262,6280.721166943999,0.8824250626432083,0.8824198317034342,0.15519844804808727,0.15519936805657483
1994,Other Crop,811532.3705592512,452.0338623374,575012.228209518,343.98279586999996,0.7085511916342412,0.7609668755595344,0.17952911013412529,0.16716307766357885
1994,Sorghum,490321.3652435067,222.1724175678,401498.3381217112,179.68042513679998,0.8188473245956077,0.808743169398907,0.22069407652454248,0.22345135137343414
1994,Soybeans,6875699.128494025,3851.3932568174,5922896.083080458,3447.921671544,0.8614245580547591,0.8952400966691185,0.17852498225994615,0.17178163100289193
1994,Unknown,175972231.72485736,999.1688505918,146707788.7853143,995.526679812,0.8336985179269665,0.9963547995139732,17.61186126054974,14.736700859992954
1995,Alfalfa,147635.44113606025,126.2619203664,133647.75709827163,114.1213511004,0.9052552427103352,0.9038461538461539,0.11692792308847856,0.11711021277753098
1995,Corn,9401388.87387466,5419.7524631635,7822186.746899348,4549.2736467913,0.8320245925191194,0.8393877170057868,0.17346528162998587,0.1719436409901722
1995,Golf Course/Turf/Sod,680376.2467728255,346.8155953654,10829.970533667049,4.046856421999999,0.015917619971355535,0.011668611435239205,0.1961781003694458,0.26761440002644726
1995,Multi-Crop,10642456.62472308,6994.181954142599,9219622.99029366,6141.104620384999,0.8663059024244373,0.878030434531042,0.15216156363246508,0.15012971704943306
1995,Other Crop,512635.051684741,441.5120356402,474964.51636604033,410.755926833,0.9265158806544754,0.9303391384051329,0.11610896426445348,0.11563181084886584
1995,Sorghum,271736.0488117142,262.6409817878,92424.79408743416,74.0574725226,0.34012709940989555,0.28197226502311246,0.1034629275911185,0.12480144263528442
1995,Soybeans,6308877.219685823,3855.237770418299,4961656.021898068,3131.2551565225,0.7864562661666689,0.812208051225529,0.1636443092588113,0.15845581959562724
1995,Unknown,181000261.40443385,0,154082591.66973516,0,0.8512838074053781,NA,Inf,Inf
1995,Wheat,27481.9753405583,12.140569266,27481.9753405583,12.140569266,1,1,0.22636480002237072,0.22636480002237072
1996,Alfalfa,161203.74134908276,132.3322049994,103242.42980272576,93.8870689904,0.640446858979264,0.7094801223241589,0.12181746790194697,0.10996448276948806
1996,Corn,12063403.031941049,6535.0660930667,10342350.493647773,5641.9248807313,0.8573327498271976,0.863330959531845,0.1845949659903145,0.18331244588118673
1996,Golf Course/Turf/Sod,1075670.1712516728,434.6323797227999,107115.5627726249,28.7326805962,0.09958030410751553,0.06610800744878959,0.24748965365574335,0.3728004507410676
1996,Multi-Crop,11583923.972049585,7610.9228728554,9628485.21498553,6358.4208102464,0.8311937507719959,0.8354336151432977,0.1522013054864085,0.15142887679704248
1996,Other Crop,667313.6741131975,381.2138749524,619972.6411881244,341.95936765899995,0.9290573012939002,0.8970276008492568,0.17504968154596187,0.18130008995874558
1996,Sorghum,228798.54604668575,134.7603188526,NA,NA,NA,NA,0.16978183785461667,NA
