Domain,Year,crop_water_m3,crop_irrigated_area_ha,sector_irrigation_m3,irrigation_gw_m3,irrigation_sw_m3,gw_fraction,crop_minus_sector_m3,crop_to_sector_ratio
Alluvial corridor,2013,30823341.955472343,21692.9715073099,30833135.801262476,30192946.392756943,640189.408505528,0.9792369672474468,-9793.84579013288,0.9996823597232127
Alluvial corridor,2014,31048218.029275633,21969.9788293958,31058270.906251643,30110882.84610491,947388.0601467328,0.9694964325925808,-10052.876976009458,0.9996763220655022
Alluvial corridor,2015,10563797.487942673,17141.4720894865,10755862.944867196,10213143.27116467,542719.6737025245,0.9495419682749383,-192065.4569245223,0.9821431847998604
Alluvial corridor,2016,19344189.930704046,20779.1913272223,19648465.230390266,18620839.176711068,1027626.0536791976,0.9476994237651819,-304275.29968621954,0.9845140423886342
Alluvial corridor,2017,25395664.16053046,22596.6345463425,25395664.16053046,24206094.27639965,1189569.884130809,0.9531585440486483,0,1
Alluvial corridor,2018,37881510.052194774,22582.875234507697,37881510.052194774,35852506.43833939,2029003.6138553843,0.9464381538365356,0,1
Alluvial corridor,2019,12934660.593074348,19494.921441700597,12934660.593074348,12645964.168996356,288696.4240779923,0.977680402048387,0,1
Alluvial corridor,2020,17863962.386373546,22304.0468270319,17863962.386373546,16757011.115721667,1106951.2706518774,0.9380343931144721,0,1
Alluvial corridor,2021,26896182.481088616,22831.554561639598,26896182.481088616,25614483.838511385,1281698.6425772316,0.9523464475496318,0,1
Alluvial corridor,2022,29039196.821188513,22140.351484762,29039196.821188513,27690483.110377327,1348713.7108111873,0.9535554058496861,0,1
Alluvial corridor,2023,33311102.134348396,22676.155275034802,33311102.134348396,31965780.498590466,1345321.6357579315,0.9596134156614795,0,1
Entire basin,1990,24825894.23013052,14918.3315140608,26475478.830756288,23039689.18117798,3435789.649578308,0.8702274783568037,-1649584.6006257683,0.9376938709524126
Entire basin,1991,42324671.98367975,17489.2993989574,42378834.17116646,38135286.60545179,4243547.565714664,0.8998663448698201,-54162.187486708164,0.9987219519237375
Entire basin,1992,13969255.81913569,13698.60898847,13969675.202960456,12573090.06203405,1396585.1409264058,0.9000273721016476,-419.3838247656822,0.9999699789852897
Entire basin,1993,1947544.4733037476,4219.8595340405,1947544.473303748,1537843.4809623456,409700.9923414021,0.789632022294002,-4.656612873077393e-10,0.9999999999999998
Entire basin,1994,30611590.128420565,18005.8806212257,30660287.99136694,26750187.570796493,3910100.420570449,0.8724701991817095,-48697.862946376204,0.998411695840558
Entire basin,1995,27992587.482029464,17458.5432901502,28010337.28567177,24989133.21651155,3021204.069160218,0.8921396754938161,-17749.803642306477,0.9993663123916974
Entire basin,1996,31568155.293438654,18671.5885026447,31774800.505682983,28633233.27881488,3141567.2268681033,0.9011302297143855,-206645.2122443281,0.993496569326773
Entire basin,1997,37525983.582158454,20138.169269977498,37659791.69189561,33002065.594769247,4657726.097126364,0.8763209808691346,-133808.10973715782,0.9964469237952277
Entire basin,1998,26099303.87475943,19410.139799659697,26215473.194219653,23506019.32468119,2709453.8695384627,0.8966467685147151,-116169.31946022436,0.9955686735616186
Entire basin,1999,32103005.353017624,20012.312035253297,32863113.86576952,28598547.769543048,4264566.096226473,0.8702324401258739,-760108.5127518959,0.9768704659011747
