Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
2005,20177,Shawnee,Corn,Non-alluvial,0,141085.65257868305,5,0,141085.65257868305,231.075706,141085.65257868305,1,0.06105603008681624
2005,20177,Shawnee,Golf Course/Turf/Sod,Alluvial,89452.10285894468,0,2,0,89452.10285894468,30.756135999999998,89452.10285894468,1,0.2908431113028785
2005,20177,Shawnee,Golf Course/Turf/Sod,Non-alluvial,0,218795.00834417553,2,0,218795.00834417553,70.82005,218795.00834417553,1,0.30894500687894955
2005,20177,Shawnee,Multi-Crop,Alluvial,1818004.210724509,0,45,0,1818004.210724509,1587.987864,1818004.210724509,1,0.11448476729193122
2005,20177,Shawnee,Multi-Crop,Non-alluvial,36609.7409384098,52324.299548764946,3,0,88934.04048717475,99.55275599999999,88934.04048717475,1,0.0893335795617499
2005,20177,Shawnee,Other Crop,Alluvial,184010.82052533605,0,7,0,184010.82052533605,124.238602,184010.82052533605,1,0.14811082671820153
2005,20177,Shawnee,Other Crop,Non-alluvial,0,407.049006390675,1,0,407.049006390675,2.832802,407.049006390675,1,0.01436913015419627
2005,20177,Shawnee,Soybeans,Alluvial,1759179.4618918689,0,48,0,1759179.4618918689,1528.903708,1759179.4618918689,1,0.11506149489251345
2005,20177,Shawnee,Soybeans,Non-alluvial,3885.4677882746246,26285.497958137224,3,0,30170.96574641185,82.555944,30170.96574641185,1,0.03654608533870299
2005,20197,Wabaunsee,Corn,Alluvial,869395.0035586044,13629.974304899875,14,0,883024.9778635042,511.92779,883024.9778635042,1,0.17249014316325828
2005,20197,Wabaunsee,Corn,Non-alluvial,51510.20153598359,129416.91439548369,6,0,180927.11593146727,159.041598,180927.11593146727,1,0.11376087652959024
2005,20197,Wabaunsee,Golf Course/Turf/Sod,Non-alluvial,0,789.4283760303999,1,0,789.4283760303999,6.07029,789.4283760303999,1,0.013004788503191773
2005,20197,Wabaunsee,Multi-Crop,Alluvial,653585.0212612938,127184.31226952272,13,0,780769.3335308165,553.610448,780769.3335308165,1,0.14103226128615556
2005,20197,Wabaunsee,Multi-Crop,Non-alluvial,56542.807433177404,205966.79723368154,3,0,262509.6046668589,214.888266,262509.6046668589,1,0.12216097675005622
2005,20197,Wabaunsee,Other Crop,Non-alluvial,1332.1603845513,65016.82765712872,3,0,66348.98804168002,59.893527999999996,66348.98804168002,1,0.11077822639147258
2005,20197,Wabaunsee,Soybeans,Alluvial,1450253.9356780974,24854.65902658212,24,0,1475108.5947046797,889.702171,1475108.5947046797,1,0.16579802126892634
2005,20197,Wabaunsee,Soybeans,Non-alluvial,45096.095980736594,280321.08240104484,6,0,325417.17838178144,266.688074,325417.17838178144,1,0.12202164630045717
2005,20209,Wyandotte,Golf Course/Turf/Sod,Non-alluvial,0,204980.01176364356,1,0,204980.01176364356,36.42174,204980.01176364356,1,0.5627957691303149
