Year,Crop,Domain,FIPS,County,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m,annual_domain_area_share
2008,Soybeans,Alluvial,20177,Shawnee,1506204.6718292523,4082.8248822822247,50,0,1510287.4967115344,1740.1498,1510287.4967115344,1,0.08679066001740393,0.3448829002245749
2008,Soybeans,Alluvial,20197,Wabaunsee,315857.6941407883,21684.610704085047,12,0,337542.3048448734,450.010832,337542.3048448734,1,0.07500759556047161,0.08918832210458774
2008,Soybeans,Alluvial,20209,Wyandotte,206706.88633621004,0,3,0,206706.88633621004,93.887152,206706.88633621004,1,0.22016525364004016,0.01860763554700032
2008,Soybeans,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2008,Soybeans,Non-alluvial,20013,Brown,0,0,0,0,0,0,0,NA,NA,0
2008,Soybeans,Non-alluvial,20061,Geary,223765.94014949197,100442.42603149291,9,0,324208.3661809849,335.08000799999996,324208.3661809849,1,0.0967555086667495,0.35099618482407796
2008,Soybeans,Non-alluvial,20085,Jackson,70592.16556284342,11311.028450310574,2,0,81903.194013154,56.656040000000004,81903.194013154,1,0.14456215791494428,0.05934718100890208
2008,Soybeans,Non-alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2008,Soybeans,Non-alluvial,20103,Leavenworth,0,83568.39449384312,2,0,83568.39449384312,56.65604,83568.39449384312,1,0.14750129817375715,0.05934718100890207
2008,Soybeans,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2008,Soybeans,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2008,Soybeans,Non-alluvial,20149,Pottawatomie,53915.49111920122,137039.83215152723,5,0,190955.32327072846,275.591166,190955.32327072846,1,0.06928934843678135,0.2886816447647308
2008,Soybeans,Non-alluvial,20161,Riley,0,1554.18711530985,1,0,1554.18711530985,4.856232,1554.18711530985,1,0.03200397170707351,0.005086901229334464
2008,Soybeans,Non-alluvial,20177,Shawnee,30960.39412244225,44898.738886729,5,0,75859.13300917124,138.402612,75859.13300917124,1,0.054810477860902825,0.14497668503603223
2008,Soybeans,Non-alluvial,20197,Wabaunsee,26914.57369528645,67508.46096897467,3,0,94423.03466426113,87.412176,94423.03466426113,1,0.10802046006069123,0.091564222128020345
2009,Corn,Alluvial,20045,Douglas,144995.79000370862,0,12,0,144995.79000370862,377.167352,144995.79000370862,1,0.0384433565723124,0.06279477159412478
2009,Corn,Alluvial,20061,Geary,177177.33114532288,0,2,0,177177.33114532288,107.646476,177177.33114532288,1,0.16459185449352087,0.017922112922786688
2009,Corn,Alluvial,20087,Jefferson,280913.15368306765,0,16,0,280913.15368306765,652.353832,280913.15368306765,1,0.043061470616618934,0.10861069936666218
2009,Corn,Alluvial,20091,Johnson,155418.711530985,0,2,0,155418.711530985,106.837104,155418.711530985,1,0.14547259866851595,0.01778736019404393
2009,Corn,Alluvial,20103,Leavenworth,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Alluvial,20149,Pottawatomie,666092.5270940254,0,30,0,666092.5270940254,1520.405302,666092.5270940254,1,0.04381019496694871,0.25313300094326907
2009,Corn,Alluvial,20161,Riley,254960.69582106825,0,8,0,254960.69582106825,353.695564,254960.69582106825,1,0.07208478753244082,0.058886942460584825
2009,Corn,Alluvial,20177,Shawnee,712212.4129999265,0,57,0,712212.4129999265,2110.842176,712212.4129999265,1,0.03374067569322276,0.35143511656111037
2009,Corn,Alluvial,20197,Wabaunsee,404495.69898695167,5563.003087339224,18,0,410058.7020742909,715.889534,410058.7020742909,1,0.057279605665291215,0.11918878857296861
2009,Corn,Alluvial,20209,Wyandotte,152951.74785589,0,2,0,152951.74785589,61.512271999999996,152951.74785589,1,0.24865241175921773,0.010241207384449535
2009,Corn,Non-alluvial,20005,Atchison,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20013,Brown,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20061,Geary,257464.66395128967,72960.45069093461,7,0,330425.1146422243,278.828654,330425.1146422243,1,0.11850471961975054,0.24757455982752427
2009,Corn,Non-alluvial,20085,Jackson,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20087,Jefferson,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20091,Johnson,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20103,Leavenworth,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20131,Nemaha,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20139,Osage,0,0,0,0,0,0,0,NA,NA,0
2009,Corn,Non-alluvial,20149,Pottawatomie,44306.6676047062,71196.5716632417,9,0,115503.2392679479,564.53697,115503.2392679479,1,0.020459818471755337,0.5012576356449875
2009,Corn,Non-alluvial,20161,Riley,35203.571643605654,40322.52126942777,5,0,75526.09291303343,197.891454,75526.09291303343,1,0.03816541411284664,0.17570966582824293
2009,Corn,Non-alluvial,20177,Shawnee,0,9880.189518755475,1,0,9880.189518755475,25.899904,9880.189518755475,1,0.03814759127584208,0.022996766079770036
