Year,Crop,Domain,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
2004,Corn,Non-alluvial,635008.7847878285,273290.2359270241,361718.54886080435,858.743692,20,635008.7847878285,1,0.07394625319563086
2004,Golf Course/Turf/Sod,Alluvial,295603.92236825835,295603.92236825835,0,82.96063,6,295603.92236825835,1,0.35631831914518775
2004,Golf Course/Turf/Sod,Non-alluvial,1762608.541400251,252481.39732759775,1510127.1440726533,797.636106,24,1762608.541400251,1,0.22097903143319478
2004,Multi-Crop,Alluvial,3616359.0557768866,3560309.6410787283,56049.4146981584,4526.41291,108,3616359.0557768866,1,0.07989459043357329
2004,Multi-Crop,Non-alluvial,1198117.9132650131,700790.3711842366,497327.5420807765,1515.9537559999999,26,1198117.9132650131,1,0.07903393546953376
2004,Other Crop,Alluvial,733341.9568771152,676071.3951597847,57270.56171733043,617.550836,30,733341.9568771152,1,0.11875005491484998
2004,Other Crop,Non-alluvial,49573.63505103403,19415.00412299765,30158.630928036375,116.54956800000001,13,49573.63505103403,1,0.04253437906439432
2004,Sorghum,Alluvial,14530.416046309549,14530.416046309549,0,12.14058,1,14530.416046309549,1,0.11968469419343679
2004,Soybeans,Alluvial,3442894.5049625817,3428512.106736778,14382.398225803849,4619.49069,130,3442894.5049625817,1,0.07452974225958624
2004,Soybeans,Non-alluvial,858096.3099266692,380282.4505158942,477813.85941077507,833.248474,26,858096.3099266692,1,0.10298204397631687
2004,Unknown,Alluvial,83716.41231434883,42394.770756507576,41321.64155784125,36.42174,3,83716.41231434883,1,0.2298528634665692
2004,Unknown,Non-alluvial,33106.6525197749,33106.6525197749,0,6.07029,3,33106.6525197749,1,0.545388317852605
2004,Wheat,Alluvial,6352.431463369625,6352.431463369625,0,28.32802,1,6352.431463369625,1,0.022424551604275995
2004,Wheat,Non-alluvial,6549.788557377225,6549.788557377225,0,7.6890339999999995,1,6549.788557377225,1,0.08518350364138362
2005,Alfalfa,Alluvial,119351.7026010961,119351.7026010961,0,84.98406,2,119351.7026010961,1,0.14044010441616475
2005,Alfalfa,Non-alluvial,2762.9993161064003,0,2762.9993161064003,8.903092,1,2762.9993161064003,1,0.03103415438261674
2005,Corn,Alluvial,10285227.949750947,10174781.986016944,110445.96373400315,6480.236918,184,10285227.949750947,1,0.15871685063214144
2005,Corn,Non-alluvial,1909812.2638931696,940480.5618564668,969331.7020367029,1486.006992,35,1909812.2638931696,1,0.12851973605607164
2005,Golf Course/Turf/Sod,Alluvial,337875.34494101116,302536.09029527527,35339.25464573587,98.74338399999999,7,337875.34494101116,1,0.3421751729118491
2005,Golf Course/Turf/Sod,Non-alluvial,2225694.6276707086,53360.424292304844,2172334.203378404,768.498714,25,2225694.6276707086,1,0.28961592090194554
2005,Multi-Crop,Alluvial,8880933.54733987,8740587.983863715,140345.56347615455,6572.10064,163,8880933.54733987,1,0.13513082093246628
2005,Multi-Crop,Non-alluvial,1679299.1780922927,988981.0677088345,690318.1103834583,1280.426504,25,1679299.1780922927,1,0.13115154777304522
2005,Other Crop,Alluvial,1055206.7075667598,983282.3816193651,71924.32594739473,634.547648,25,1055206.7075667598,1,0.16629274584700057
2005,Other Crop,Non-alluvial,268701.6834913474,183924.47679670772,84777.20669463967,221.36324199999999,20,268701.6834913474,1,0.12138496033200825
2005,Soybeans,Alluvial,7105990.187564143,7022434.127888676,83556.05967546764,5233.1970089999995,149,7105990.187564143,1,0.1357867891337424
2005,Soybeans,Non-alluvial,1430974.6145572301,491172.4677114145,939802.1468458156,1090.62877,27,1430974.6145572301,1,0.13120638790385386
2005,Unknown,Non-alluvial,61674.091877374995,0,61674.091877374995,0,1,0,0,NA
2006,Alfalfa,Alluvial,92104.08880967181,92104.08880967181,0,86.602804,3,92104.08880967181,1,0.106352317194801
2006,Alfalfa,Non-alluvial,1726.8745725664999,0,1726.8745725664999,4.856232,1,1726.8745725664999,1,0.035559968563415006
2006,Corn,Alluvial,14381621.132246194,13778658.20559785,602962.9266483444,7324.209570999999,197,14381621.132246194,1,0.1963573132750026
2006,Corn,Non-alluvial,3173921.455466974,1671256.8765114832,1502664.5789554908,1722.343616,39,3173921.455466974,1,0.18427922430706034
2006,Golf Course/Turf/Sod,Alluvial,294987.1814494846,286254.13003964827,8733.0514098363,95.50589599999999,7,294987.1814494846,1,0.3088680320317445
2006,Golf Course/Turf/Sod,Non-alluvial,2208388.8774899174,221841.70848291786,1986547.1690069996,945.346496,26,2208388.8774899174,1,0.23360629005704986
2006,Multi-Crop,Alluvial,11428529.93015535,11168413.280253332,260116.6499020168,6507.755566,158,11428529.93015535,1,0.17561400108301717
2006,Multi-Crop,Non-alluvial,2115988.7530392343,1171005.9824757192,944982.7705635153,1404.665106,30,2115988.7530392343,1,0.15064008808938367
2006,Other Crop,Alluvial,1051481.5924173663,1051481.5924173663,0,624.025812,29,1051481.5924173663,1,0.16849969539679335
2006,Other Crop,Non-alluvial,198171.19202038136,84974.56378864727,113196.62823173407,135.56981,21,198171.19202038136,1,0.14617649166903854
2006,Soybeans,Alluvial,7784232.510758012,7613580.298533316,170652.21222469662,5262.536744,156,7784232.510758012,1,0.14791787477081436
2006,Soybeans,Non-alluvial,1006434.8357101317,415091.30797148467,591343.527738647,827.58287,28,1006434.8357101317,1,0.12161136632880425
2007,Alfalfa,Alluvial,103982.51890525426,103982.51890525426,0,64.74976,2,103982.51890525426,1,0.16059135803013672
2007,Alfalfa,Non-alluvial,1295.155929424875,0,1295.155929424875,4.856232,1,1295.155929424875,1,0.02666997642256126
2007,Corn,Alluvial,11555455.211238986,11158878.46564909,396576.74558989675,9301.303024,259,11555455.211238986,1,0.12423480002127264
2007,Corn,Non-alluvial,2068104.9881056403,858688.3812086921,1209416.6068969483,1728.818592,48,2068104.9881056403,1,0.11962533244816238
2007,Golf Course/Turf/Sod,Alluvial,268417.98266871145,252777.43296860918,15640.5497001023,94.291838,8,268417.98266871145,1,0.28466725048748276
2007,Golf Course/Turf/Sod,Non-alluvial,2029941.0600519206,210357.99257535062,1819583.06747657,734.100404,26,2029941.0600519206,1,0.2765209021805579
2007,Multi-Crop,Alluvial,6333078.1333385045,6332140.687141968,937.4461965360999,5067.478091999999,124,6333078.1333385045,1,0.12497494845289023
2007,Multi-Crop,Non-alluvial,1445579.0395137926,680906.6439629708,764672.3955508217,1351.65124,26,1445579.0395137926,1,0.1069491150330904
2007,Other Crop,Alluvial,734883.8091740495,726052.0792172094,8831.7299568401,591.650932,27,734883.8091740495,1,0.12420901741671718
2007,Other Crop,Non-alluvial,181802.88803612604,57554.262539966345,124248.62549615967,174.824352,21,181802.88803612604,1,0.10399174140003449
2007,Sorghum,Alluvial,127134.97299602084,127134.97299602084,0,52.609179999999995,2,127134.97299602084,1,0.24165929405480346
2007,Sorghum,Non-alluvial,46909.31428193142,0,46909.31428193142,42.49203,1,46909.31428193142,1,0.11039555954829983
2007,Soybeans,Alluvial,5026093.113091549,4901437.438588998,124655.67450255033,4216.625777,106,5026093.113091549,1,0.11919703997700881
2007,Soybeans,Non-alluvial,770371.0816402911,353651.5776432437,416719.50399704743,895.974804,21,770371.0816402911,1,0.08598133320279074
2007,Wheat,Alluvial,20019.410223395924,20019.410223395924,0,28.32802,1,20019.410223395924,1,0.07066999466745619
