Year,Crop,Domain,FIPS,County,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2016,Corn,Non-alluvial,20061,Geary,292.587978,387004.9265305281,9
2016,Corn,Non-alluvial,20085,Jackson,0,0,0
2016,Corn,Non-alluvial,20131,Nemaha,86.198118,191189.68481986248,3
2016,Corn,Non-alluvial,20139,Osage,46.943576,36696.08466703812,1
2016,Corn,Non-alluvial,20149,Pottawatomie,253.333436,244981.82775530897,4
2016,Corn,Non-alluvial,20161,Riley,32.37488,92412.4592690587,1
2016,Corn,Non-alluvial,20177,Shawnee,0,0,0
2016,Corn,Non-alluvial,20197,Wabaunsee,0,0,0
2016,Soybeans,Alluvial,20045,Douglas,268.711504,222754.48504270302,9
2016,Soybeans,Alluvial,20061,Geary,59.084156,58319.0212792458,1
2016,Soybeans,Alluvial,20087,Jefferson,615.12272,444941.5684401342,17
2016,Soybeans,Alluvial,20091,Johnson,45.324832,8363.00685857205,1
2016,Soybeans,Alluvial,20103,Leavenworth,0,0,0
2016,Soybeans,Alluvial,20149,Pottawatomie,1876.933668,1148655.2915793583,46
2016,Soybeans,Alluvial,20161,Riley,211.24609199999998,133450.40000426403,6
2016,Soybeans,Alluvial,20177,Shawnee,1690.778108,767053.0154972883,47
2016,Soybeans,Alluvial,20197,Wabaunsee,871.693644,553598.9835096934,25
2016,Soybeans,Alluvial,20209,Wyandotte,0,0,0
2016,Soybeans,Non-alluvial,20005,Atchison,55.846667999999994,17737.46882393305,3
2016,Soybeans,Non-alluvial,20061,Geary,133.54638,22683.730992498524,2
2016,Soybeans,Non-alluvial,20085,Jackson,0,0,0
2016,Soybeans,Non-alluvial,20131,Nemaha,54.227924,56740.164527185,1
2016,Soybeans,Non-alluvial,20139,Osage,48.56232,27963.033257201827,1
2016,Soybeans,Non-alluvial,20149,Pottawatomie,149.329134,6821.154561637675,3
2016,Soybeans,Non-alluvial,20161,Riley,59.893527999999996,1517.1826601834248,1
2016,Soybeans,Non-alluvial,20177,Shawnee,12.14058,12137.461281467398,1
2016,Soybeans,Non-alluvial,20197,Wabaunsee,0,0,0
2017,Corn,Alluvial,20045,Douglas,442.928827,409232.26924313407,10
2017,Corn,Alluvial,20061,Geary,205.175802,458670.22129203787,4
2017,Corn,Alluvial,20087,Jefferson,706.17707,582906.511969822,22
2017,Corn,Alluvial,20091,Johnson,50.181064,39829.12853440877,2
2017,Corn,Alluvial,20103,Leavenworth,144.06821599999998,59873.208394555644,3
2017,Corn,Alluvial,20149,Pottawatomie,2191.779376,3610722.0437792945,62
2017,Corn,Alluvial,20161,Riley,360.372883,510303.7710117762,9
2017,Corn,Alluvial,20177,Shawnee,3124.580606,2649444.978141777,91
2017,Corn,Alluvial,20197,Wabaunsee,1030.330556,1292947.996935665,28
2017,Corn,Alluvial,20209,Wyandotte,0,0,0
2017,Corn,Non-alluvial,20005,Atchison,89.03092,46884.64464518047,5
2017,Corn,Non-alluvial,20061,Geary,242.8116,371093.0108261653,5
2017,Corn,Non-alluvial,20085,Jackson,36.42174,56764.83416393595,1
2017,Corn,Non-alluvial,20131,Nemaha,54.227924,96211.58332870499,1
2017,Corn,Non-alluvial,20139,Osage,48.56232,31046.737851070575,1
2017,Corn,Non-alluvial,20149,Pottawatomie,138.807298,303880.58549820207,4
2017,Corn,Non-alluvial,20161,Riley,30.756135999999998,178904.2057178894,2
2017,Corn,Non-alluvial,20177,Shawnee,0,0,0
2017,Corn,Non-alluvial,20197,Wabaunsee,60.7029,71048.553842736,1
2017,Soybeans,Alluvial,20045,Douglas,456.081122,348754.6547481801,11
2017,Soybeans,Alluvial,20061,Geary,0,0,0
2017,Soybeans,Alluvial,20087,Jefferson,744.217554,639276.6319457428,22
2017,Soybeans,Alluvial,20091,Johnson,0,0,0
2017,Soybeans,Alluvial,20103,Leavenworth,0,0,0
2017,Soybeans,Alluvial,20149,Pottawatomie,2369.841216,2841966.8233461906,59
2017,Soybeans,Alluvial,20161,Riley,669.75533,958797.7671440472,18
2017,Soybeans,Alluvial,20177,Shawnee,2067.540774,1822432.4105213047,65
2017,Soybeans,Alluvial,20197,Wabaunsee,1402.034647,1947791.1696712573,28
2017,Soybeans,Alluvial,20209,Wyandotte,0,0,0
2017,Soybeans,Non-alluvial,20005,Atchison,0,0,0
2017,Soybeans,Non-alluvial,20061,Geary,119.78705599999999,136053.04668148924,4
