Year,Crop,waterUse_m3,GWuse_m3,SWuse_m3,irrArea_ha,n_pdiv,water_with_area_m3,area_data_water_fraction,applied_depth_m
1992,Sorghum,314019.8062028425,241232.04296916455,72787.76323367798,273.365393,10,314019.8062028425,1,0.11487182146821436
1992,Soybeans,1859917.9235643735,1695901.8436256824,164016.07993869105,1591.630038,53,1859917.9235643735,1,0.1168561712935185
1992,Unknown,419.38382476615,419.38382476615,0,0,1,0,0,NA
1992,Wheat,130786.07923516142,130786.07923516142,0,87.412176,3,130786.07923516142,1,0.14961997884043227
1993,Corn,440661.38646384433,421258.7171592222,19402.669304622174,1146.880124,28,440661.38646384433,1,0.03842261952600064
1993,Golf Course/Turf/Sod,499880.84948449983,172477.76534426693,327403.08414023294,498.168466,14,499880.84948449983,1,0.1003437358245995
1993,Multi-Crop,569967.2874939488,563466.8382100734,6500.449283875324,1781.427772,41,569461.5599405542,0.9991127077562324,0.0319949703520143
1993,Other Crop,280974.82777494506,234719.2588669138,46255.56890803125,245.64440199999999,30,280974.82777494506,1,0.11438275225785323
1993,Sorghum,49.339273501899996,49.339273501899996,0,0.809372,1,49.339273501899996,1,0.006095994610871144
1993,Soybeans,151903.28829397462,141764.06758933418,10139.220704640451,506.46452899999997,17,151903.28829397462,1,0.029992877999551793
1993,Wheat,4107.494519033175,4107.494519033175,0,40.4686,1,4107.494519033175,1,0.010149831027100455
1994,Alfalfa,99727.00656571539,87860.91128850843,11866.095277206949,109.26521999999999,5,99727.00656571539,1,0.09127058597943187
1994,Corn,8963095.772538908,7953466.218869529,1009629.5536693796,5848.724415,174,8963095.772538908,1,0.1532487280397688
1994,Golf Course/Turf/Sod,2324792.558499275,1359716.3688021111,965076.1896971639,404.686,14,2319883.300785836,0.9978883028958901,0.5744682441446639
1994,Multi-Crop,11046421.926519884,9971479.509552363,1074942.4169675198,7117.617367999999,186,11046421.926519884,1,0.15519831083057856
1994,Other Crop,811532.3705592512,714198.3187583779,97334.05180087323,452.034262,42,811532.3705592512,1,0.17952895140484973
1994,Sorghum,490321.36524350673,457609.42691174697,32711.9383317597,222.172614,8,490321.36524350673,1,0.22069388139958002
1994,Soybeans,6875699.128494024,6202588.089744354,673111.0387496707,3851.396662,129,6875699.128494024,1,0.17852482441846243
1994,Unknown,48697.862946375295,3268.7268695008747,45429.13607687442,3.642174,2,48697.862946375295,1,1.3370548179844044
1995,Alfalfa,147635.44113606028,118525.26976993927,29110.171366120998,126.262032,5,147635.44113606028,1,0.11692781970755886
1995,Corn,9401388.873874662,8472392.027925763,928996.8459488996,5419.757255,155,9401388.873874662,1,0.17346512826199745
1995,Golf Course/Turf/Sod,680376.2467728255,238789.74893082053,441586.497842005,346.815902,10,680376.2467728255,1,0.1961779269200942
1995,Multi-Crop,10642456.624723077,9917206.308700275,725250.3160228035,6994.188138,181,10642456.624723077,1,0.15216142909999422
1995,Other Crop,512635.051684741,497845.60445254645,14789.447232194525,441.512426,40,512635.051684741,1,0.11610886160760989
1995,Sorghum,271736.0488117142,141825.7416812115,129910.3071305027,262.641214,10,271736.0488117142,1,0.10346283611517049
1995,Soybeans,6308877.219685823,5575066.539710439,733810.6799753832,3855.2411789999996,132,6308877.219685823,1,0.16364416457395967
1995,Unknown,17749.803642308525,0,17749.803642308525,0,1,0,0,NA
1995,Wheat,27481.9753405583,27481.9753405583,0,12.14058,1,27481.9753405583,1,0.22636459988368182
1996,Alfalfa,161203.74134908276,91252.98634176404,69950.75500731872,132.332322,5,161203.74134908276,1,0.12181736019797398
1996,Corn,12063403.031941049,11515256.038153315,548146.9937877335,6535.071871,190,12063403.031941049,1,0.18459480278210164
1996,Golf Course/Turf/Sod,1075670.1712516728,511031.5252959293,564638.6459557435,434.632764,18,1050692.164041336,0.976779120702704,0.24748943483967834
1996,Multi-Crop,11583923.972049585,10271573.305809297,1312350.6662402872,7610.929602,191,11583923.972049585,1,0.15220117091880028
1996,Other Crop,667313.6741131975,547789.2840548448,119524.39005835273,381.214212,48,667313.6741131975,1,0.1750495267771385
1996,Sorghum,228798.54604668578,0,228798.54604668578,134.760438,4,228798.54604668578,1,0.16978168774331662
1996,Soybeans,5728437.671391095,5430280.441619113,298157.2297719817,3381.960902,109,5728437.671391095,1,0.16938213768241533
1996,Unknown,206645.21224433265,206645.21224433265,0,152.161936,5,206645.21224433265,1,0.13580611398394185
1996,Wheat,59404.4852962876,59404.4852962876,0,60.7029,2,59404.4852962876,1,0.09786103348651812
1997,Alfalfa,359942.33501473593,275658.52105511527,84283.81395962067,262.641214,9,359942.33501473593,1,0.13704716389817476
1997,Corn,12801950.282172613,11817483.757989202,984466.5241834107,6567.851436999999,198,12801950.282172613,1,0.19491839005451328
1997,Golf Course/Turf/Sod,1112107.224732826,447445.53657035565,664661.6881624704,396.187594,18,1112107.224732826,1,0.2807021828989491
1997,Multi-Crop,14926487.064346053,12996791.073231617,1929695.9911144353,8169.396282,201,14926487.064346053,1,0.1827122415059514
1997,Other Crop,781743.784182479,555671.2329967733,226072.5511857058,345.60184399999997,48,692711.0651483005,0.8861101030342238,0.22619780471497689
1997,Sorghum,279173.94429212564,172280.40825025932,106893.53604186635,128.690148,5,279173.94429212564,1,0.21693497803120534
1997,Soybeans,7263863.527951848,6602926.954938771,660936.5730130768,4237.467106,130,7263863.527951848,1,0.17141993899295763
1997,Unknown,133808.1097371528,133808.1097371528,0,109.26522,2,133808.1097371528,1,0.12246175840505587
1997,Wheat,715.4194657775499,0,715.4194657775499,30.35145,1,715.4194657775499,1,0.002357117916203509
1998,Alfalfa,114849.49389404772,84740.20223951325,30109.29165453447,110.479278,10,52163.94690988377,0.45419396412845026,0.10395568831835389
1998,Corn,9917539.348796412,9426761.595273014,490777.7535233993,7439.140394999999,208,9867496.990647111,0.9949541558254191,0.1333156631304095
1998,Golf Course/Turf/Sod,1115906.3487924722,554178.7199733407,561727.6288191315,378.786096,21,1019250.7120022501,0.9133837378962728,0.2946006626369074
1998,Multi-Crop,9902700.562290717,8813412.751552518,1089287.8107381973,7575.72192,196,9902700.562290717,1,0.1307162626461706
1998,Other Crop,575752.3173120465,467797.98688988935,107954.33042215719,420.468754,51,499979.5280315036,0.8683934271696981,0.1369310589276383
1998,Sorghum,34512.821814579045,6808.8197432622,27704.00207131685,52.204494,3,34512.821814579045,1,0.06611082527603668
1998,Soybeans,4438042.981859154,4111096.2859988133,326946.6958603404,3433.356024,104,4438042.981859154,1,0.1292625335338411
1998,Unknown,116169.31946022355,41222.96301083745,74946.35644938609,131.52294999999998,4,116169.31946022355,1,0.08832627268489915
1999,Alfalfa,16824.692264147896,4563.88279892575,12260.809465222148,31.160822000000003,2,16824.692264147896,1,0.05399309512485869
1999,Corn,10191976.722832356,9128801.722595038,1063175.0002373166,6597.595858,188,10191976.722832356,1,0.15448016129199463
1999,Golf Course/Turf/Sod,1478661.0223968164,494256.1723052832,984404.8500915333,565.3463419999999,19,1474578.1975145342,0.9972388364740526,0.26154958696041525
1999,Multi-Crop,11322832.871495903,10199229.596037135,1123603.2754587685,7164.156258,184,11322832.871495903,1,0.1580483795122703
1999,Other Crop,809003.7327922788,687185.0665160876,121818.6662761911,511.523104,46,809003.7327922788,1,0.15815585385411618
1999,Sorghum,180828.4373844635,47575.39447420707,133253.04291025642,89.03092000000001,3,180828.4373844635,1,0.2031074568076613
1999,Soybeans,8102877.873851657,7384053.998202477,718823.8756491811,5053.516425,150,8102877.873851657,1,0.16034137801088985
1999,Unknown,760108.5127518959,652881.9366138917,107226.57613800417,452.438948,11,760108.5127518959,1,0.1680024489739323
2000,Alfalfa,72109.34822302684,72109.34822302684,0,61.107586,3,72109.34822302684,1,0.11800392216937983
2000,Corn,10986425.369941574,9969567.612704167,1016857.757237408,6795.284969,193,10986425.369941574,1,0.16167718381291588
2000,Golf Course/Turf/Sod,1540964.1900113407,547135.5386809446,993828.6513303962,578.70098,21,1540964.1900113407,1,0.26627986529612246
2000,Multi-Crop,13222382.566500679,11554049.041944183,1668333.5245564957,7546.584528,191,13222382.566500679,1,0.17521015656078368
2000,Other Crop,989967.8531788725,860637.2825120172,129330.57066685538,490.884118,53,976165.191416716,0.9860574646764185,0.20167037736162255
2000,Sorghum,64597.44383236257,64597.44383236257,0,49.776378,2,64597.44383236257,1,0.1297752999070414
2000,Soybeans,7938405.405633073,6693291.8343575,1245113.5712755728,4661.98272,139,7938405.405633073,1,0.17027959738197126
2000,Unknown,942454.1327965427,804131.4795339662,138322.65326257664,494.12160599999993,16,891610.0114528348,0.9460513572232547,0.19073323678878815
2000,Wheat,629.075737149225,629.075737149225,0,16.592126,1,629.075737149225,1,0.0037914112823710776
2001,Alfalfa,316560.7787881904,309406.5841304149,7154.1946577755,199.105512,9,316560.7787881904,1,0.15899146920060675
2001,Corn,11802891.667851016,10809013.677247116,993877.9906038981,7012.399008,200,11802891.667851016,1,0.16831460466504897
2001,Golf Course/Turf/Sod,3472424.060153469,370698.2966381501,3101725.7635153187,541.874554,23,3427981.7095466326,0.9872013470022806,0.6408169629890886
2001,Multi-Crop,12042347.496974112,10719610.913661674,1322736.583312437,7087.265918,178,12023943.947957903,0.9984717639961117,0.16991527672736761
2001,Other Crop,1215769.0383603177,843639.9027906127,372129.1355697053,565.7510279999999,51,1166651.7915891765,0.9595998539020334,0.21489471131112428
2001,Sorghum,111112.0439262788,111112.0439262788,0,112.502708,2,111112.0439262788,1,0.09876388391137997
2001,Soybeans,7656024.408563325,6690565.839496521,965458.5690668037,4850.364053,146,7493722.868378825,0.9788008068517957,0.15784432518684852
2001,Unknown,1137467.6113128026,988203.9741511797,149263.637161623,692.822432,18,1016981.1054211627,0.8940747809490759,0.1641788081297002
2002,Alfalfa,430497.49612245295,375841.91590072325,54655.58022172972,198.29613999999998,10,430497.49612245295,1,0.21709827338164675
2002,Corn,19218794.16709897,17749754.30303502,1469039.8640639458,7460.38641,212,19040173.662203714,0.9907059463074411,0.2576112430495269
2002,Golf Course/Turf/Sod,2830988.834992018,574309.143562116,2256679.691429902,726.816056,27,2830988.834992018,1,0.3895055443012968
2002,Multi-Crop,16563329.79758996,15141667.970906213,1421661.8266837467,7195.31708,182,16207013.899177615,0.9784876650548737,0.23019596792515445
2002,Other Crop,848462.8167754235,621181.4533889211,227281.36338650237,390.117304,36,848413.4775019216,0.9999418486319891,0.2174891521283105
2002,Sorghum,213083.98743633062,116995.75229138037,96088.23514495025,149.329134,6,213083.98743633062,1,0.1426941827951206
2002,Soybeans,10041676.960927194,9111224.606409987,930452.3545172057,5117.456813,149,10015786.17715707,0.9974216673299822,0.19622397077036544
