Year,Crop_group,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2009,Corn,6006.3443015324,Total basin area,2251752.48,0.26674087648978184
2009,Corn,6006.3443015324,Basin cultivated area,706469.22,0.850191930730174
2009,Corn,6006.3443015324,Total alluvial area,86777.1,6.921577583869937
2009,Corn,6006.3443015324,Alluvial cultivated area,48144.87,12.47556448180751
2009,Other/Unclassified,4368.581507549,Total basin area,2251752.48,0.19400806910842172
2009,Other/Unclassified,4368.581507549,Basin cultivated area,706469.22,0.6183682719466533
2009,Other/Unclassified,4368.581507549,Total alluvial area,86777.1,5.034256166141758
2009,Other/Unclassified,4368.581507549,Alluvial cultivated area,48144.87,9.073825534369497
2009,Sorghum,2.0234282109999997,Total basin area,2251752.48,8.986015243558207e-5
2009,Sorghum,2.0234282109999997,Basin cultivated area,706469.22,2.8641420655241e-4
2009,Sorghum,2.0234282109999997,Total alluvial area,86777.1,0.0023317536665779333
2009,Sorghum,2.0234282109999997,Alluvial cultivated area,48144.87,0.004202790891324454
2009,Soybeans,3101.7131046419,Total basin area,2251752.48,0.13774662766850376
2009,Soybeans,3101.7131046419,Basin cultivated area,706469.22,0.4390443372241893
2009,Soybeans,3101.7131046419,Total alluvial area,86777.1,3.574345195497314
2009,Soybeans,3101.7131046419,Alluvial cultivated area,48144.87,6.442458157311256
2010,Corn,7944.9908704915,Total basin area,2178076.23,0.36477101953826013
2010,Corn,7944.9908704915,Basin cultivated area,632702.61,1.2557227906000734
2010,Corn,7944.9908704915,Total alluvial area,86777.09999999999,9.155630771818256
2010,Corn,7944.9908704915,Alluvial cultivated area,44571.78,17.825159485422166
2010,Other/Unclassified,5026.600361766199,Total basin area,2178076.23,0.23078165458727767
2010,Other/Unclassified,5026.600361766199,Basin cultivated area,632702.61,0.7944649322319375
2010,Other/Unclassified,5026.600361766199,Total alluvial area,86777.09999999999,5.792542458512902
2010,Other/Unclassified,5026.600361766199,Alluvial cultivated area,44571.78,11.277540097716985
2010,Sorghum,50.585705274999995,Total basin area,2178076.23,0.0023224947124554952
2010,Sorghum,50.585705274999995,Basin cultivated area,632702.61,0.007995178852668237
2010,Sorghum,50.585705274999995,Total alluvial area,86777.09999999999,0.058293841664448336
2010,Sorghum,50.585705274999995,Alluvial cultivated area,44571.78,0.11349267468115475
2010,Soybeans,5861.0621559825995,Total basin area,2178076.23,0.26909352736394354
2010,Soybeans,5861.0621559825995,Basin cultivated area,632702.61,0.9263534025855528
2010,Soybeans,5861.0621559825995,Total alluvial area,86777.09999999999,6.754157670609643
2010,Soybeans,5861.0621559825995,Alluvial cultivated area,44571.78,13.149715259257313
2011,Corn,9007.0883384454,Total basin area,2197392.75,0.40989888304880406
2011,Corn,9007.0883384454,Basin cultivated area,687323.34,1.3104586755987946
2011,Corn,9007.0883384454,Total alluvial area,86777.1,10.379568271405013
2011,Corn,9007.0883384454,Alluvial cultivated area,48451.32,18.58997513059582
2011,Other/Unclassified,5486.7279369476,Total basin area,2197392.75,0.24969263855756324
2011,Other/Unclassified,5486.7279369476,Basin cultivated area,687323.34,0.798274642753671
2011,Other/Unclassified,5486.7279369476,Total alluvial area,86777.1,6.322783242292724
2011,Other/Unclassified,5486.7279369476,Alluvial cultivated area,48451.32,11.324207342436903
2011,Sorghum,48.96696270619999,Total basin area,2197392.75,0.0022284119534935207
2011,Sorghum,48.96696270619999,Basin cultivated area,687323.34,0.007124297962324398
2011,Sorghum,48.96696270619999,Total alluvial area,86777.1,0.05642843873118598
2011,Sorghum,48.96696270619999,Alluvial cultivated area,48451.32,0.10106424903635235
2011,Soybeans,5865.3113552257,Total basin area,2197392.75,0.2669213937847797
2011,Soybeans,5865.3113552257,Basin cultivated area,687323.34,0.8533554753466833
2011,Soybeans,5865.3113552257,Total alluvial area,86777.1,6.759054353309455
2011,Soybeans,5865.3113552257,Alluvial cultivated area,48451.32,12.105575978581594
2011,Wheat,28.327994954,Total basin area,2197392.75,0.0012891639400375741
2011,Wheat,28.327994954,Basin cultivated area,687323.34,0.004121494688948
2011,Wheat,28.327994954,Total alluvial area,86777.1,0.03264455133209107
2011,Wheat,28.327994954,Alluvial cultivated area,48451.32,0.0584669209301212
2012,Corn,8944.969092367699,Total basin area,2204057.52,0.40584100057278444
2012,Corn,8944.969092367699,Basin cultivated area,674384.67,1.3263897431665668
2012,Corn,8944.969092367699,Total alluvial area,86777.1,10.30798343384107
