Region,Year,Crop,irrigated_area_ha,withdrawal_m3,implied_depth_m
Alluvial corridor,2018,Soybeans,6917.8987105879,9335582.617841505,0.13494824090953111
Alluvial corridor,2018,Unknown,0,143372700.59295335,Inf
Alluvial corridor,2018,Wheat,16.187425687999998,456.388279892575,0.00281940000027863
Alluvial corridor,2019,Corn,8659.0586861534,6437652.723525781,0.07434587241936767
Alluvial corridor,2019,Golf Course/Turf/Sod,366.2405061909999,467773.3172531384,0.12772298785792624
Alluvial corridor,2019,Multi-Crop,5062.4150411008995,3369983.393545149,0.06656869036190866
Alluvial corridor,2019,Other Crop,381.6185605946,279482.31475151255,0.07323603818327155
Alluvial corridor,2019,Sorghum,25.8998811008,1640.530843938175,0.006334125000625976
Alluvial corridor,2019,Soybeans,4999.6887665599,2378128.3131548287,0.047565527059619965
Alluvial corridor,2019,Unknown,0,125587273.99517646,Inf
Alluvial corridor,2020,Alfalfa,29.5420518806,10410.5867089009,0.03523989041444152
Alluvial corridor,2020,Corn,9794.4042553455,8527442.322335508,0.08706443087318434
Alluvial corridor,2020,Golf Course/Turf/Sod,398.2106719247999,802762.3146942884,0.20159236587358112
Alluvial corridor,2020,Multi-Crop,5709.5073829787,3898616.704662882,0.0682828910298902
Alluvial corridor,2020,Other Crop,246.4535560998,281628.5731488452,0.114272472917697
Alluvial corridor,2020,Sorghum,0.4046856422,24.66963675095,0.006096000000602443
Alluvial corridor,2020,Soybeans,6123.500794949299,4340610.251511277,0.07088445640590818
Alluvial corridor,2020,Unknown,0,139709543.23625994,Inf
Alluvial corridor,2020,Wheat,2.0234282109999997,2466.963675095,0.12192000001204888
Alluvial corridor,2021,Alfalfa,29.5420518806,19390.3344862467,0.06563638356813041
Alluvial corridor,2021,Corn,9288.1425169533,12129838.363711355,0.13059487773331657
Alluvial corridor,2021,Golf Course/Turf/Sod,377.9763898148,926788.9134596896,0.245197567476052
Alluvial corridor,2021,Multi-Crop,5508.5809616264,5764060.6268594675,0.10463784896714377
Alluvial corridor,2021,Other Crop,292.5877193106,611745.3173316827,0.20908099587128506
Alluvial corridor,2021,Sorghum,2.4281138531999997,2935.6867733630497,0.12090400001194845
Alluvial corridor,2021,Soybeans,7284.948588063299,7424475.198018908,0.10191527240403904
Alluvial corridor,2021,Unknown,0,134692627.22803974,Inf
Alluvial corridor,2021,Wheat,47.3482201374,16948.040447902647,0.03579446154199895
Alluvial corridor,2022,Alfalfa,29.5420518806,9904.859155506423,0.03352800000331343
Alluvial corridor,2022,Corn,9225.0115567701,11923193.151467023,0.1292485443307306
Alluvial corridor,2022,Golf Course/Turf/Sod,307.1564024298,1150579.5232459323,0.37459076683543824
