Year,Crop,irrigated_area_ha_Alluvial corridor,irrigated_area_ha_Whole basin,withdrawal_m3_Alluvial corridor,withdrawal_m3_Whole basin,area_capture,withdrawal_capture
2012,Alfalfa,99.5526679812,110.8838659628,239998.56113161705,248706.9429047024,0.8978102189781022,0.9649853692406885
2012,Corn,8944.969092367699,10586.3740571309,21597502.216717444,24828410.533079114,0.8449511649687492,0.8698705133759126
2012,Golf Course/Turf/Sod,107.6463808252,742.3958106158999,380936.1958897944,2880920.1797759407,0.1449986372308531,0.13222726494262715
2012,Multi-Crop,5481.8717092412,7276.6525323982,46086063.833915465,49289687.53203058,0.7533507591346421,0.935004179200096
2012,Other Crop,564.9411565112,682.0976499280999,1918125.93147824,2243345.7527660136,0.8282408780777218,0.8550291140423708
2012,Sorghum,52.609133486,52.609133486,121436.28690655137,121436.28690655137,1,1
2012,Soybeans,5448.6874865807995,6347.494297906999,11461895.61386101,13130623.85260552,0.8583997449792796,0.8729132554952153
2012,Unknown,0,84.1746135776,154309774.35457465,177070511.61819127,0,0.8714594708310636
2013,Alfalfa,26.7092523852,40.8732498622,35635.29028674727,41432.65492322052,0.6534653465346535,0.8600774039892826
2013,Corn,10224.7874358252,12053.1571672848,15514290.499210935,17887225.85382969,0.8483078162771958,0.8673391070247651
2013,Golf Course/Turf/Sod,102.38546747659998,824.5469959825,256675.23557525928,2717656.523758154,0.12417177914110428,0.09444726856810878
2013,Multi-Crop,5345.087962177599,6893.4152292348,6783533.365592476,8848764.34101663,0.7753903956792297,0.766607980975242
2013,Other Crop,680.2765645382,791.160430501,948350.1759800198,1102399.7226713272,0.859846547314578,0.8602598100097344
2013,Sorghum,132.3322049994,160.6601999534,180248.70092081616,212504.25097268328,0.8236775818639799,0.8482122126770374
2013,Soybeans,5181.3926199077,6675.087325267899,7104608.68790609,8758288.448232522,0.776228439782958,0.811186880849973
2013,Unknown,6.4749702752,44.9201062842,170930029.33896744,190184717.82753903,0.14414414414414412,0.898757961688426
2014,Alfalfa,67.1778166052,75.27152944919999,28382.417081967975,32921.630244142776,0.89247311827957,0.8621206444361184
2014,Corn,9142.4556857613,11426.5014503381,14578213.467514517,17621299.504472826,0.8001097908661082,0.8273063779328034
2014,Golf Course/Turf/Sod,102.38546747659998,875.9420725419,252876.11151561295,1938207.015793513,0.11688611688611687,0.13046909306129204
2014,Multi-Crop,5026.6003617662,6874.799689693599,6276769.687454461,8798080.572311804,0.7311631740051802,0.7134248926075887
2014,Other Crop,719.5310718316,903.6630390326,842973.822598337,1165134.6089289929,0.7962382445141066,0.7234990842587791
2014,Sorghum,2.0234282109999997,2.0234282109999997,629.075737149225,629.075737149225,1,1
2014,Soybeans,6909.8049977439,7632.1688690709,9068373.447373588,10008298.942403158,0.9053527399984093,0.9060853896912197
2014,Unknown,14.5686831192,55.8466186236,174747297.91644406,196019814.67342287,0.2608695652173913,0.8914777223291446
2015,Corn,6808.026558730599,7938.3135573952,3793240.351281198,5063615.630589744,0.8576162316476345,0.7491169606883078
2015,Golf Course/Turf/Sod,110.4791803206,822.9282534137,334902.6537125217,1627628.623917428,0.13425129087779691,0.20576109856465133
2015,Multi-Crop,3867.9853681476,5655.481849745,2268767.813437867,3713458.746028626,0.6839355992844366,0.6109581305741474
2015,Other Crop,540.6600179792,906.495838528,405087.7702689745,657877.5380559592,0.5964285714285714,0.6157495078278804
2015,Soybeans,5814.3209643085,7127.5258732474995,3761798.899242112,4695655.663630949,0.8157558552164657,0.8011232442741072
